,tc
97102.cif,7.066089190457772
80720.cif,7.05528243550119
80716.cif,6.988684686772166
68584.cif,6.89451464427313
66051.cif,6.754887502163469
74167.cif,6.71699089440494
41654.cif,6.6582114827517955
291054.cif,6.599912842187128
41639.cif,6.57228336665041
50096.cif,6.5576551547254205
65923.cif,6.539158811108032
65423.cif,6.539158811108032
81174.cif,6.530991490236633
78456.cif,6.530601414516833
74122.cif,6.528258742758412
81176.cif,6.524084571754289
41363.cif,6.523561956057013
65395.cif,6.520422248526446
262809.cif,6.519439686994978
63326.cif,6.518062975652524
99286.cif,6.509379148914688
65387.cif,6.507794640198696
78453.cif,6.507794640198696
81177.cif,6.5051499136488395
97066.cif,6.501040995565925
71730.cif,6.491853096329675
67342.cif,6.491853096329675
71731.cif,6.491853096329675
96778.cif,6.484017256915571
63336.cif,6.476138625475701
85394.cif,6.473299871141316
75893.cif,6.470048726011327
68188.cif,6.46352437327118
161972.cif,6.463360885816658
82833.cif,6.462706750670158
65879.cif,6.459431618637298
75813.cif,6.448853768829055
69264.cif,6.442943495848729
78626.cif,6.442943495848729
74257.cif,6.430452551665532
87093.cif,6.426264754702098
72230.cif,6.426264754702098
99287.cif,6.426264754702098
74166.cif,6.400879436282184
290510.cif,6.394033895367782
173902.cif,6.357552004618085
196272.cif,6.3540289380543875
82836.cif,6.3416300093299105
67128.cif,6.336283387864433
89198.cif,6.320123598040614
78622.cif,6.311430455749744
89167.cif,6.304693557471009
78621.cif,6.300123724569014
63403.cif,6.28909670241999
83140.cif,6.28909670241999
181819.cif,6.285402218862249
83921.cif,6.285402218862249
85396.cif,6.285402218862249
67636.cif,6.279842693520347
75688.cif,6.25171909260596
74132.cif,6.247927513443586
99288.cif,6.22881869049588
67637.cif,6.218522881332698
83923.cif,6.170425850272507
89182.cif,6.161887682376894
74684.cif,6.149747119504682
83092.cif,6.129283016944967
173908.cif,6.10852445677817
68055.cif,6.10852445677817
75743.cif,6.08746284125034
63428.cif,6.074676686294496
66497.cif,6.068240861312821
99289.cif,6.063934305754099
75714.cif,6.061467626545438
96674.cif,6.020146573111776
85393.cif,6.011227255423254
75715.cif,5.992466334867969
173918.cif,5.9534204670715605
82696.cif,5.930737337562887
74401.cif,5.920055054806967
81160.cif,5.906890595608519
63692.cif,5.897869651945855
74246.cif,5.895625761434904
85391.cif,5.882643049361842
89169.cif,5.8442349877587505
75716.cif,5.787902559391433
83088.cif,5.78135971352466
74271.cif,5.741466986401147
96010.cif,5.7279204545632
81178.cif,5.692092375427573
75859.cif,5.672425341971496
75717.cif,5.6582114827517955
202873.cif,5.643856189774724
99282.cif,5.640967910449898
203120.cif,5.569855608330948
74155.cif,5.554588851677638
73485.cif,5.498250867527826
183514.cif,5.491853096329675
151637.cif,5.491853096329675
65921.cif,5.491853096329675
56599.cif,5.470319923932703
41498.cif,5.426264754702098
83054.cif,5.3750394313469245
41986.cif,5.373300196608388
67712.cif,5.321928094887363
85259.cif,5.24031432933371
67105.cif,5.232660756790275
92883.cif,5.228818690495881
151663.cif,5.181897643108388
92882.cif,5.129283016944966
151668.cif,5.111657346263132
67081.cif,5.1001366712854495
69936.cif,5.0
74114.cif,5.0
69287.cif,5.0
97219.cif,5.0
97220.cif,4.986410935252045
97221.cif,4.958842675243241
92378.cif,4.938991438775543
78635.cif,4.908812907739547
79061.cif,4.906890595608519
74270.cif,4.906890595608519
75694.cif,4.906890595608519
184666.cif,4.906890595608519
65865.cif,4.906890595608519
68893.cif,4.906890595608519
97210.cif,4.906890595608519
97222.cif,4.906890595608519
151669.cif,4.897240425574799
92384.cif,4.8875252707415875
81186.cif,4.837943241891027
97211.cif,4.832890014164742
185432.cif,4.807354922057604
97212.cif,4.754887502163469
74110.cif,4.749534267669262
72266.cif,4.643856189774724
87976.cif,4.643856189774724
86969.cif,4.584962500721157
72267.cif,4.554588851677638
97213.cif,4.554588851677638
72265.cif,4.465974464504069
87288.cif,4.465974464504069
157552.cif,4.459431618637297
75780.cif,4.459431618637297
153904.cif,4.408202344852179
65919.cif,4.321928094887363
78216.cif,4.19114151367856
72248.cif,4.174497742645864
92385.cif,3.963474123974886
86967.cif,3.9068905956085187
67871.cif,3.84799690655495
160627.cif,3.8073549220576037
74111.cif,3.8073549220576037
259577.cif,3.804776377955828
151672.cif,3.689299160535892
69484.cif,3.678071905112638
79037.cif,3.5849625007211565
69481.cif,3.137503523749935
72249.cif,2.954196310386875
67426.cif,2.8836208162856716
