,tc
671243.cif,3.9891996029213694
391192.cif,3.704041954821288
246434.cif,3.4329594072761065
610778.cif,3.364572432295856
671240.cif,3.357552004618084
642618.cif,3.3074285251922477
164574.cif,3.271873834017602
107019.cif,3.264536430999026
246431.cif,3.2427294696996545
642071.cif,3.1546156113268946
174552.cif,3.0449768504512162
640787.cif,2.9845893503624565
174554.cif,2.9774631112394667
604422.cif,2.9696262895652015
104690.cif,2.921245888585589
79575.cif,2.9131006127264207
100785.cif,2.8710550750866295
246433.cif,2.82781902461732
236950.cif,2.807354922057604
659009.cif,2.8004686055008334
641633.cif,2.7914667408882434
130023.cif,2.786596361890807
263006.cif,2.761285273361619
246810.cif,2.7441610955704103
659011.cif,2.722466024471091
67406.cif,2.720278465233327
641011.cif,2.700439718141092
610771.cif,2.700439718141092
641991.cif,2.6686379113330454
603209.cif,2.632268215499513
150742.cif,2.611172380044005
157584.cif,2.584962500721156
404168.cif,2.584962500721156
670737.cif,2.584962500721156
621980.cif,2.584547185224864
608280.cif,2.5817530245734956
603198.cif,2.541019153133559
105632.cif,2.4724877714627436
247832.cif,2.457389941549478
261871.cif,2.4329594072761065
414514.cif,2.4059923596758366
56649.cif,2.331582264066192
650166.cif,2.3291235962915664
