,E_lowest,E_highest,electronegativity,NUnfilled,NValance,NdUnfilled,NdValence,NfUnfilled,NfValence,NpUnfilled,NpValence,NsUnfilled,NsValence,Atomic_radius,Van der waals radius,Atomic mass
H,-13.6057,-13.6057,2.2,1,1,0,0,0,0,0,0,1,1,0.25,1.1,1.00794
He,-23.4154,-23.4154,0.0,0,2,0,0,0,0,0,0,0,2,no data,1.4,4.002602
Li,-5.4953,-5.4953,0.98,1,1,0,0,0,0,0,0,1,1,1.45,1.82,6.941
Be,-8.1797,-8.1797,1.57,0,2,0,0,0,0,0,0,0,2,1.05,1.53,9.012182
B,-12.5703,-6.6641,2.04,5,3,0,0,0,0,5,1,0,2,0.85,1.92,10.811
C,-17.5446,-8.9839,2.55,4,4,0,0,0,0,4,2,0,2,0.7,1.7,12.0107
N,-23.0739,-11.49,3.04,3,5,0,0,0,0,3,3,0,2,0.65,1.55,14.0067
O,-29.1706,-14.1621,3.44,2,6,0,0,0,0,2,4,0,2,0.6,1.52,15.9994
F,-35.8496,-17.0098,3.98,1,7,0,0,0,0,1,5,0,2,0.5,1.47,18.9984032
Ne,-20.014,-20.014,0.0,0,8,0,0,0,0,0,6,0,2,no data,1.54,20.1797
Na,-5.1389,-5.1389,0.93,1,1,0,0,0,0,0,0,1,1,1.8,2.27,22.98976928
Mg,-6.8723,-6.8723,1.31,0,2,0,0,0,0,0,0,0,2,1.5,1.73,24.305
Al,-10.1294,-4.8735,1.61,5,3,0,0,0,0,5,1,0,2,1.25,1.84,26.9815386
Si,-13.5717,-6.5334,1.9,4,4,0,0,0,0,4,2,0,2,1.1,2.1,28.0855
P,-17.1269,-8.3525,2.19,3,5,0,0,0,0,3,3,0,2,1.0,1.8,30.973762
S,-20.8167,-10.2886,2.58,2,6,0,0,0,0,2,4,0,2,1.0,1.8,32.065
Cl,-24.6589,-12.3363,3.16,1,7,0,0,0,0,1,5,0,2,1.0,1.75,35.453
Ar,-28.6645,-14.4942,0.0,0,8,0,0,0,0,0,6,0,2,0.71,1.88,39.948
K,-23.576,0.0,0.82,1,1,0,0,0,0,0,0,1,1,2.2,2.75,39.0983
Ca,-33.7734,0.0,1.0,0,2,0,0,0,0,0,0,0,2,1.8,2.31,40.078
Sc,-7.2219,-5.8627,1.36,9,3,9,1,0,0,0,0,0,2,1.6,2.15,44.955912
Ti,-8.543,-6.2287,1.54,8,4,8,2,0,0,0,0,0,2,1.4,2.11,47.867
V,-9.773,-6.5565,1.63,7,5,7,3,0,0,0,0,0,2,1.35,2.07,50.9415
Cr,-6.5157,-5.8668,1.66,6,6,5,5,0,0,0,0,1,1,1.4,2.06,51.9961
Mn,-12.0532,-7.1471,1.55,5,7,5,5,0,0,0,0,0,2,1.4,2.05,54.938045
Fe,-13.0955,-7.4165,1.83,4,8,4,6,0,0,0,0,0,2,1.4,2.04,55.845
Co,-14.1703,-7.6831,1.88,3,9,3,7,0,0,0,0,0,2,1.35,2.0,58.933195
Ni,-15.1718,-7.9335,1.91,2,10,2,8,0,0,0,0,0,2,1.35,1.97,58.6934
Cu,-10.1104,-6.9267,1.9,1,11,0,10,0,0,0,0,1,1,1.35,1.96,63.546
Zn,-17.1187,-8.4151,1.65,0,12,0,10,0,0,0,0,0,2,1.35,2.01,65.409
Ga,-27.7556,-4.9239,1.81,5,13,0,10,0,0,5,1,0,2,1.3,1.87,69.723
Ge,-14.3826,-6.3716,2.01,4,14,0,10,0,0,4,2,0,2,1.25,2.11,72.64
As,-17.3527,-7.9267,2.18,3,15,0,10,0,0,3,3,0,2,1.15,1.85,74.9216
Se,-20.3446,-9.5444,2.55,2,16,0,10,0,0,2,4,0,2,1.15,1.9,78.96
Br,-23.3814,-11.2206,2.96,1,17,0,10,0,0,1,5,0,2,1.15,1.85,79.904
Kr,-26.4713,-12.9512,3.0,0,18,0,10,0,0,0,6,0,2,no data,2.02,83.798
Rb,-35.5435,-3.9525,0.82,1,1,0,0,0,0,0,0,1,1,2.35,3.03,85.4678
Sr,-27.689,-5.0096,0.95,0,2,0,0,0,0,0,0,0,2,2.0,2.49,87.62
Y,-32.557,-5.5361,1.22,9,3,9,1,0,0,0,0,0,2,1.8,2.32,88.90585
Zr,-7.0191,-5.9307,1.33,8,4,8,2,0,0,0,0,0,2,1.55,2.23,91.224
Nb,-6.0927,-5.4681,1.6,7,5,6,4,0,0,0,0,1,1,1.45,2.18,92.90638
