,type
186047.cif,1
191012.cif,1
658671.cif,1
422561.cif,0
77111.cif,1
9572.cif,1
26585.cif,1
627601.cif,1
108708.cif,1
163656.cif,0
290321.cif,0
35299.cif,0
237513.cif,0
629891.cif,1
200516.cif,1
420088.cif,0
89545.cif,1
247822.cif,1
187717.cif,1
26438.cif,0
2044.cif,0
248868.cif,0
37136.cif,0
641036.cif,1
646181.cif,1
81395.cif,0
672410.cif,1
422726.cif,1
85466.cif,1
172480.cif,0
676163.cif,1
412129.cif,1
74197.cif,0
67394.cif,0
79993.cif,0
614538.cif,1
173616.cif,1
75520.cif,1
405865.cif,0
643223.cif,1
407343.cif,0
16076.cif,1
15851.cif,0
35432.cif,1
643329.cif,1
416030.cif,1
9195.cif,1
651771.cif,1
30384.cif,0
423278.cif,0
425729.cif,0
624652.cif,1
414043.cif,1
247284.cif,1
251869.cif,0
77792.cif,1
73607.cif,0
673930.cif,1
98019.cif,0
636559.cif,1
162864.cif,1
411665.cif,0
59938.cif,0
264556.cif,0
59640.cif,0
90636.cif,1
22393.cif,0
434052.cif,0
63544.cif,0
675982.cif,1
74076.cif,0
9089.cif,0
255070.cif,0
429494.cif,0
613196.cif,1
65653.cif,0
657580.cif,1
30532.cif,0
623598.cif,1
281353.cif,0
674865.cif,1
237780.cif,1
150630.cif,1
601123.cif,1
63452.cif,0
654919.cif,1
97312.cif,1
413621.cif,0
88075.cif,1
630361.cif,1
151974.cif,1
260302.cif,0
670515.cif,1
153211.cif,1
99063.cif,1
407035.cif,0
15199.cif,1
419316.cif,0
616878.cif,1
625124.cif,1
97249.cif,0
281216.cif,0
249543.cif,0
633085.cif,1
150626.cif,1
150537.cif,1
246496.cif,1
618621.cif,1
94584.cif,0
157757.cif,0
24676.cif,0
673736.cif,1
650125.cif,1
409393.cif,0
670922.cif,1
88069.cif,1
658908.cif,1
254865.cif,1
153867.cif,1
105608.cif,1
417518.cif,1
71345.cif,0
195216.cif,0
84533.cif,0
406518.cif,0
107351.cif,1
60084.cif,1
650435.cif,1
674132.cif,0
82886.cif,1
259425.cif,1
609234.cif,1
613813.cif,1
3551.cif,0
182771.cif,1
632171.cif,1
183445.cif,0
425279.cif,0
20157.cif,0
202059.cif,1
624068.cif,1
2030.cif,0
23081.cif,1
33829.cif,1
602889.cif,0
673654.cif,1
23711.cif,1
413489.cif,0
164138.cif,0
635675.cif,1
74896.cif,0
361.cif,0
612833.cif,1
187494.cif,1
103420.cif,1
429605.cif,0
160232.cif,0
412745.cif,0
248078.cif,0
28923.cif,1
103824.cif,1
625029.cif,1
26510.cif,0
636504.cif,1
167604.cif,0
87615.cif,0
635783.cif,1
253037.cif,0
33928.cif,1
671876.cif,1
26733.cif,1
670971.cif,1
412918.cif,1
250451.cif,0
94567.cif,0
200097.cif,0
410956.cif,1
409671.cif,0
93006.cif,1
44397.cif,1
173359.cif,1
426950.cif,0
254445.cif,0
36309.cif,1
90869.cif,1
72444.cif,0
252674.cif,0
254492.cif,0
615261.cif,1
191364.cif,1
161775.cif,1
75472.cif,0
89434.cif,1
61091.cif,0
422621.cif,1
105560.cif,1
417898.cif,1
645863.cif,0
9104.cif,0
412710.cif,0
68479.cif,1
671570.cif,1
411087.cif,0
94226.cif,0
673615.cif,1
16408.cif,0
418166.cif,0
425228.cif,0
16568.cif,0
256565.cif,0
197380.cif,1
607432.cif,1
634176.cif,1
420356.cif,1
16039.cif,1
641783.cif,1
265103.cif,0
108833.cif,0
409459.cif,0
104173.cif,1
410719.cif,0
86629.cif,0
247291.cif,1
645652.cif,1
264563.cif,0
60763.cif,0
434269.cif,1
36466.cif,1
418493.cif,0
607316.cif,1
75414.cif,0
676331.cif,1
104787.cif,1
174289.cif,1
411559.cif,0
640151.cif,1
257851.cif,0
647908.cif,0
68646.cif,1
630990.cif,1
391267.cif,1
44915.cif,1
260075.cif,1
651876.cif,1
160937.cif,1
610927.cif,1
27889.cif,1
254972.cif,0
87440.cif,1
81931.cif,1
62810.cif,1
52926.cif,1
255563.cif,0
615136.cif,1
41179.cif,0
603608.cif,1
164680.cif,1
42697.cif,0
74996.cif,1
81494.cif,1
410880.cif,0
613641.cif,1
675779.cif,1
402570.cif,1
26629.cif,0
3098.cif,0
22232.cif,0
252851.cif,0
109150.cif,1
417453.cif,1
53018.cif,1
251134.cif,0
185665.cif,1
425997.cif,0
85482.cif,0
641672.cif,1
257695.cif,1
99580.cif,0
6116.cif,0
31660.cif,0
173993.cif,0
4343.cif,0
2799.cif,0
624999.cif,1
26127.cif,0
58757.cif,1
676303.cif,1
423713.cif,0
416303.cif,1
413993.cif,1
31253.cif,1
54614.cif,1
34362.cif,0
37020.cif,0
402691.cif,0
259988.cif,1
40372.cif,1
614562.cif,1
638564.cif,1
431527.cif,0
107679.cif,1
57735.cif,1
409965.cif,0
652479.cif,1
190988.cif,1
170790.cif,0
672326.cif,1
636582.cif,1
180324.cif,0
55770.cif,1
621495.cif,1
82502.cif,0
262746.cif,1
24426.cif,0
618587.cif,1
410934.cif,0
238074.cif,0
1398.cif,1
281481.cif,0
417717.cif,1
59897.cif,0
408934.cif,1
638671.cif,1
418553.cif,1
657419.cif,1
77115.cif,0
1384.cif,0
255619.cif,0
237221.cif,1
402697.cif,1
412298.cif,0
633107.cif,1
59860.cif,0
611535.cif,1
675355.cif,0
600715.cif,1
617368.cif,1
617165.cif,1
109898.cif,1
41146.cif,0
91338.cif,1
168518.cif,0
76174.cif,0
9295.cif,0
261640.cif,0
39901.cif,0
260155.cif,1
52114.cif,1
52898.cif,1
623567.cif,1
260321.cif,1
414423.cif,1
183311.cif,1
429243.cif,0
82503.cif,0
93568.cif,0
602012.cif,1
675903.cif,0
193984.cif,1
90589.cif,1
54121.cif,0
76980.cif,1
160944.cif,0
603700.cif,1
188279.cif,1
255445.cif,0
104435.cif,1
250195.cif,0
391383.cif,0
93838.cif,0
423705.cif,0
610389.cif,1
93389.cif,0
186648.cif,1
105648.cif,1
6053.cif,1
262019.cif,0
32513.cif,0
43053.cif,1
671983.cif,1
159463.cif,0
613745.cif,1
50187.cif,1
156223.cif,0
63208.cif,0
61772.cif,0
418285.cif,0
673624.cif,1
98496.cif,1
243856.cif,0
647907.cif,0
183825.cif,0
676324.cif,1
673646.cif,1
77384.cif,1
648878.cif,1
638721.cif,1
603295.cif,1
76348.cif,1
420670.cif,0
18118.cif,0
246194.cif,1
253471.cif,1
163755.cif,1
27343.cif,1
26034.cif,1
105790.cif,1
78421.cif,0
658153.cif,1
625841.cif,1
165644.cif,0
201549.cif,0
38151.cif,1
66982.cif,1
600647.cif,1
49749.cif,0
165265.cif,0
600612.cif,1
189696.cif,1
249029.cif,0
105540.cif,1
631500.cif,0
87795.cif,0
63530.cif,0
649056.cif,1
25564.cif,1
408111.cif,0
9366.cif,0
429174.cif,1
414574.cif,1
630835.cif,1
107550.cif,1
192657.cif,0
419317.cif,0
264677.cif,0
641082.cif,1
98515.cif,1
415703.cif,0
633827.cif,1
676138.cif,1
81475.cif,1
31964.cif,0
616189.cif,1
61482.cif,1
674732.cif,1
630131.cif,1
633902.cif,1
630772.cif,1
657940.cif,1
105503.cif,1
104774.cif,1
673786.cif,1
57950.cif,1
163136.cif,1
9323.cif,0
61800.cif,0
280954.cif,1
30583.cif,0
600275.cif,1
38015.cif,0
611384.cif,1
410418.cif,1
411392.cif,1
10385.cif,0
656924.cif,1
414143.cif,0
405346.cif,0
58314.cif,1
425937.cif,0
26694.cif,0
609294.cif,1
710073.cif,1
260003.cif,0
602654.cif,1
3296.cif,0
414585.cif,0
32672.cif,1
417429.cif,0
426422.cif,0
151429.cif,0
54259.cif,1
151067.cif,1
49590.cif,0
422012.cif,1
623925.cif,1
95958.cif,0
420871.cif,0
28654.cif,1
76256.cif,1
280687.cif,0
431965.cif,1
243653.cif,0
15740.cif,0
416187.cif,0
109743.cif,0
53705.cif,1
249162.cif,0
107122.cif,1
639612.cif,1
4025.cif,1
641661.cif,1
184240.cif,1
412550.cif,1
639580.cif,1
671874.cif,1
623447.cif,1
243564.cif,0
430462.cif,0
642538.cif,1
238895.cif,1
413872.cif,0
761194.cif,0
612300.cif,1
249555.cif,0
300176.cif,0
20476.cif,0
76296.cif,1
636877.cif,1
161959.cif,1
256344.cif,0
79578.cif,1
425728.cif,0
26617.cif,1
281291.cif,0
4258.cif,0
642455.cif,1
612100.cif,1
651717.cif,1
107546.cif,1
262276.cif,0
48164.cif,0
88780.cif,0
16338.cif,0
8022.cif,0
106879.cif,1
67380.cif,0
634458.cif,1
673677.cif,1
426112.cif,0
109971.cif,1
24743.cif,0
110144.cif,1
167735.cif,1
433179.cif,0
24760.cif,1
409837.cif,1
648550.cif,1
402669.cif,0
65346.cif,0
10435.cif,0
9926.cif,0
265384.cif,0
2238.cif,0
31296.cif,1
197190.cif,1
110501.cif,0
420944.cif,0
84364.cif,0
601787.cif,1
14020.cif,0
624880.cif,1
415412.cif,0
672150.cif,1
421820.cif,1
605802.cif,1
239050.cif,1
42929.cif,1
620350.cif,1
603494.cif,1
255962.cif,0
103378.cif,1
202917.cif,0
622671.cif,1
422199.cif,0
433331.cif,0
627245.cif,0
642919.cif,1
25399.cif,1
25334.cif,1
83999.cif,1
636258.cif,1
109853.cif,0
659621.cif,0
416156.cif,0
72101.cif,0
414279.cif,0
409863.cif,1
290704.cif,0
2006.cif,0
157021.cif,0
160223.cif,0
56967.cif,1
56821.cif,1
424436.cif,1
415961.cif,0
62539.cif,0
102803.cif,1
673416.cif,1
67306.cif,1
71913.cif,0
413995.cif,1
110191.cif,1
657284.cif,1
158940.cif,1
615555.cif,1
45301.cif,1
31565.cif,0
185111.cif,1
639592.cif,1
646791.cif,1
608840.cif,1
78746.cif,1
263469.cif,0
103926.cif,1
248274.cif,0
409475.cif,0
194782.cif,0
59196.cif,0
97302.cif,1
109997.cif,0
170718.cif,0
263667.cif,1
642566.cif,1
241365.cif,1
31591.cif,0
411902.cif,0
250898.cif,0
58239.cif,1
280880.cif,0
53312.cif,1
672402.cif,1
613589.cif,1
110729.cif,0
62540.cif,0
168663.cif,1
65767.cif,0
16654.cif,0
254205.cif,0
647168.cif,1
164625.cif,1
673135.cif,0
410967.cif,1
31031.cif,0
23605.cif,0
631838.cif,1
248597.cif,1
609614.cif,1
672359.cif,1
612411.cif,1
97303.cif,1
647766.cif,1
246388.cif,1
648895.cif,1
640079.cif,1
110537.cif,0
15501.cif,0
258310.cif,0
88133.cif,0
619421.cif,1
81472.cif,0
405563.cif,1
