,tc
Y1H6.cif,8.179909090014934
Tb1H10.cif,8.11790278909403
Ca1Y1H12.cif,8.011227255423254
La1H10.cif,7.988684686772166
H9Y1.cif,7.965784284662087
Tb1H9.cif,7.82209277437953
H3S1.cif,7.6653359171851765
Sc1H9.cif,7.491853096329675
Tb1H12.cif,7.413627929024173
H6La1.cif,7.409390936137703
H7Sc1.cif,7.400879436282184
H6Sr1.cif,7.285402218862249
Tb1H6.cif,7.212374787567269
La1Y3H24.cif,7.1799090900149345
Th1H9.cif,7.1799090900149345
Sc1H12.cif,7.139551352398794
H6Ta1.cif,7.08533966935737
Sc1H6.cif,7.011227255423254
B1H3.cif,6.965784284662088
Bi1H6.cif,6.820178962415189
H3Se1.cif,6.78135971352466
Pb1H8.cif,6.7414669864011465
H4Te1.cif,6.700439718141092
Sc1H4.cif,6.614709844115209
H14Sn1.cif,6.599912842187128
H4Y1.cif,6.569855608330948
H12Sn1.cif,6.539158811108032
Bi1H4.cif,6.539158811108032
Y1S1H6.cif,6.507794640198696
Ge1H8.cif,6.491853096329675
Ge1H3.cif,6.491853096329675
H2S1.cif,6.426264754702098
Be1H2.cif,5.954196310386876
Fe1H5.cif,5.517275693209581
H1Te1.cif,5.465974464504069
Tb1H4.cif,5.368069876532083
H1Se1.cif,5.321928094887363
Sc1Y1H6.cif,5.004950759951045
H4Ta1.cif,4.954196310386876
Bi1H1.cif,4.906890595608519
Cr1H3.cif,4.817623257511431
Mg1V1H6.cif,4.786596361890807
Tb1H3.cif,4.321928094887363
Hf1H2.cif,3.5849625007211565
Zr1H3.cif,3.548436624696042
H1Zr1.cif,3.4594316186372978
Cr1H1.cif,3.405992359675837
Tb1H2.cif,3.010779838753243
Tb1H1.cif,2.867896463992655
H2Ta1.cif,2.82781902461732
H2Ti1.cif,2.807354922057604
