,tc
671985.cif,5.285402218862249
161913.cif,5.2630344058337934
161914.cif,5.257387842692652
246536.cif,5.246027980528105
161915.cif,5.206200400860454
186391.cif,5.188506440371379
161917.cif,5.153805336079036
161916.cif,5.141596278383818
186392.cif,5.1001366712854495
602516.cif,5.044394119358453
186393.cif,4.977279923499917
657331.cif,4.96116025813664
671448.cif,4.916476644437717
161918.cif,4.9140860970127225
161920.cif,4.902073579310742
421388.cif,4.857980995127573
671447.cif,4.843481425432457
161919.cif,4.832890014164742
74368.cif,4.807354922057604
657329.cif,4.754887502163469
602519.cif,4.584962500721157
26573.cif,4.53605290024021
82339.cif,4.529820946528695
79574.cif,4.523561956057013
261540.cif,4.517275693209582
671241.cif,4.498250867527826
657328.cif,4.485426827170242
196899.cif,4.336283387864433
40515.cif,4.321928094887363
261544.cif,4.247927513443585
57853.cif,4.209453365628949
Pu1Co1Ga5.cif,4.209453365628949
635423.cif,4.185866545311334
618377.cif,4.161887682376894
645473.cif,4.157528839906657
291812.cif,4.153805336079036
291811.cif,4.149747119504682
645513.cif,4.145677455195635
291809.cif,4.137503523749936
634746.cif,4.078002521492688
652507.cif,4.062495896951818
261841.cif,4.047305685691763
635621.cif,4.04001567884788
618916.cif,4.035623909730722
608716.cif,4.017921907997263
609358.cif,4.008988783227255
609356.cif,3.9726926540042644
198620.cif,3.9541963103868754
104022.cif,3.9354597478052895
619114.cif,3.8929980930550725
192781.cif,3.8777442499490022
105101.cif,3.8777442499490022
15143.cif,3.8678964639926554
196898.cif,3.8678964639926554
619102.cif,3.8579809951275723
185467.cif,3.837943241891027
57865.cif,3.797012977836145
673853.cif,3.797012977836145
618369.cif,3.786596361890807
197020.cif,3.7655347463629774
105224.cif,3.7548875021634687
100599.cif,3.7441610955704103
77223.cif,3.722466024471091
619390.cif,3.700439718141092
619128.cif,3.700439718141092
57864.cif,3.689299160535892
653292.cif,3.678071905112638
105081.cif,3.672425341971495
196888.cif,3.6667565918848037
644289.cif,3.6553518286125537
612206.cif,3.6438561897747253
16075.cif,3.6438561897747253
644106.cif,3.6380738371807184
617561.cif,3.632268215499513
602525.cif,3.5849625007211565
105102.cif,3.5849625007211565
236296.cif,3.5849625007211565
635420.cif,3.5728896684205815
154982.cif,3.5695794348817627
53035.cif,3.560307396694962
196889.cif,3.545103481031925
105080.cif,3.5401925892631665
78872.cif,3.53605290024021
619086.cif,3.523561956057013
91024.cif,3.5137013232694607
641461.cif,3.4897141427633978
182595.cif,3.489286022625877
618750.cif,3.4854268271702415
608026.cif,3.48155728070859
650562.cif,3.4809113460477485
618498.cif,3.4724877714627436
197839.cif,3.4623795718410233
104744.cif,3.4594316186372978
106145.cif,3.4581194811745064
651832.cif,3.4462562298895643
618514.cif,3.4329594072761065
618965.cif,3.4195388915137843
104229.cif,3.4154882710497008
618149.cif,3.414135532984451
628435.cif,3.408032466130653
617983.cif,3.405992359675837
671242.cif,3.3923174227787602
103963.cif,3.3923174227787602
104276.cif,3.385431037193521
106148.cif,3.37851162325373
618235.cif,3.364572432295856
675032.cif,3.350497247084133
618809.cif,3.350497247084133
198760.cif,3.3362833878644325
611658.cif,3.3362833878644325
15790.cif,3.3291235962915664
42917.cif,3.3219280948873626
105079.cif,3.3219280948873626
400298.cif,3.319762427669248
77414.cif,3.3103401206121505
670749.cif,3.3001237245690143
104514.cif,3.292781749227846
196575.cif,3.292781749227846
16306.cif,3.2829339138641336
52462.cif,3.277984747299765
645227.cif,3.2504203098275686
616399.cif,3.249445341085839
672496.cif,3.2479275134435857
616530.cif,3.2249663650002742
248787.cif,3.20945336562895
612203.cif,3.2057622109637003
23578.cif,3.1699250014423126
644856.cif,3.161887682376894
637485.cif,3.16135031945598
638675.cif,3.1546156113268946
259507.cif,3.147306698780294
423220.cif,3.137503523749935
104280.cif,3.137503523749935
35593.cif,3.123776595808404
33819.cif,3.1210154009613658
635421.cif,3.1210154009613658
637920.cif,3.1210154009613658
653019.cif,3.1210154009613658
58827.cif,3.1093605594042306
253417.cif,3.1043366598147353
645351.cif,3.1043366598147353
671192.cif,3.103217801903975
281412.cif,3.0874628412503395
26251.cif,3.0874628412503395
291808.cif,3.0874628412503395
648037.cif,3.0868099164507683
600713.cif,3.0789513413948217
650269.cif,3.0712478194614423
657556.cif,3.070389327891398
653405.cif,3.0612002140523535
641938.cif,3.0576235584781317
640980.cif,3.0550965436592636
196699.cif,3.053111336459563
187693.cif,3.0356239097307216
617689.cif,3.0356239097307216
616896.cif,3.0268000593437154
196332.cif,3.0254718146211785
58829.cif,3.008988783227255
640823.cif,3.0055796396998473
84513.cif,3.0
604606.cif,3.0
640836.cif,2.981852653289741
181483.cif,2.9448584458075393
253810.cif,2.9448584458075393
600661.cif,2.9448584458075393
76559.cif,2.9448584458075393
239393.cif,2.9385995180617264
650551.cif,2.9354597478052895
156465.cif,2.9278964537288212
23858.cif,2.925999418556223
653041.cif,2.925999418556223
251846.cif,2.9068905956085187
165077.cif,2.9068905956085187
188287.cif,2.9068905956085187
58931.cif,2.9025560053446275
618304.cif,2.887525270741588
641204.cif,2.8806855252611245
53567.cif,2.867896463992655
640030.cif,2.867896463992655
104763.cif,2.84799690655495
105602.cif,2.84799690655495
182834.cif,2.84799690655495
82335.cif,2.84799690655495
650176.cif,2.8176232575114315
191273.cif,2.807354922057604
70062.cif,2.807354922057604
619385.cif,2.7970129778361454
672014.cif,2.7889466665771447
638107.cif,2.7782085763980877
632825.cif,2.7655347463629774
291700.cif,2.763411574470007
105907.cif,2.7548875021634687
196983.cif,2.7548875021634687
645246.cif,2.7548875021634687
641457.cif,2.7506065048355928
648638.cif,2.7506065048355928
56782.cif,2.749687431919154
291692.cif,2.748461233004036
108010.cif,2.7441610955704103
77553.cif,2.7441610955704103
418391.cif,2.7441610955704103
618775.cif,2.7441610955704103
106076.cif,2.742545233866053
672464.cif,2.736965594238341
650177.cif,2.722466024471091
191387.cif,2.704871964456353
105228.cif,2.700439718141092
601565.cif,2.6996997587843286
105148.cif,2.689299160535892
291697.cif,2.6814492653149578
108145.cif,2.678071905112638
644389.cif,2.673556423990145
650212.cif,2.670538307961
157439.cif,2.659467937084786
417662.cif,2.655351828612554
653267.cif,2.6530600171045644
640204.cif,2.6507645591169027
16316.cif,2.6400037871296487
650413.cif,2.632268215499513
192215.cif,2.6147098441152083
194235.cif,2.608809242675524
653296.cif,2.6064422281316078
191388.cif,2.6016965164809576
281413.cif,2.584962500721156
108149.cif,2.584962500721156
153549.cif,2.584962500721156
291998.cif,2.584962500721156
600676.cif,2.584962500721156
88210.cif,2.584962500721156
105983.cif,2.572889668420581
640562.cif,2.572889668420581
237706.cif,2.5696531916105108
628449.cif,2.560714954474479
191389.cif,2.5558161550616396
644485.cif,2.5459683691052923
