,true,pred,cf,family
157584.cif,2.584962500721156,2.804480791091919,Pr1Pt2B2C1,heavy-Fermion
650166.cif,2.3291235962915664,2.5858778953552246,Th1Re2,heavy-Fermion
671240.cif,3.357552004618084,3.034729480743408,La1Pt2B2C1,heavy-Fermion
79575.cif,2.9131006127264207,3.1387827396392822,Ho1Ni2B2C1,heavy-Fermion
189030.cif,4.169925001442312,4.352479934692383,As2Ba0.79Fe2K0.21,iron-based
168770.cif,3.4594316186372978,3.700385332107544,Fe1.04Se0.05Te0.95,iron-based
184640.cif,3.841302220429894,3.4596526622772217,Fe1Se0.3Te0.7,iron-based
186655.cif,3.662205499653617,3.6949987411499023,As1Co0.075Fe0.925La1O1,iron-based
189277.cif,4.83162393682075,4.103741645812988,Sr1Fe2P0.7As1.3,iron-based
181436.cif,3.7333543406138276,3.4843738079071045,As1Co0.075Fe0.925O1Sm1,iron-based
247282.cif,2.584962500721156,3.668391466140747,Fe1.035Se0.22Te0.78,iron-based
74122.cif,6.528258742758412,6.271389007568359,Ba2Cu3Dy1O6.9,cuprate
185432.cif,4.807354922057604,5.395346641540527,Ca0.25Cu2Ga1O7Sr2Tm0.75,cuprate
67342.cif,6.491853096329675,6.263810157775879,Ba2Cu3Dy1O6.84,cuprate
68893.cif,4.906890595608519,4.631901264190674,Ca0.2Cu1La1.8O4,cuprate
72230.cif,6.426264754702098,6.283576488494873,Ba1.6Ca0.1Cu4O8Sr0.4Yb0.9,cuprate
65865.cif,4.906890595608519,5.122566223144531,Cu1La2O4.032,cuprate
81174.cif,6.530991490236633,6.275305271148682,Ba2Cu3Ho1O7,cuprate
262809.cif,6.519439686994978,6.259044647216797,Ba2Cu3O6.93Y1,cuprate
173902.cif,6.357552004618085,6.208596229553223,Al0.11Ba2Cu2.89O7Y1,cuprate
196272.cif,6.3540289380543875,6.217605113983154,Ba2Ca0.1Cu3O7Y0.9,cuprate
72248.cif,4.174497742645864,4.11029052734375,Ce0.15Cu1O4Sm1.85,cuprate
96778.cif,6.484017256915571,6.257903099060059,Ba2Cu3O6.98Y1,cuprate
41498.cif,5.426264754702098,4.238419532775879,Cu1La2O4.12,cuprate
63336.cif,6.476138625475701,6.202602386474609,Ba2Cu3O6.88Y1,cuprate
97066.cif,6.501040995565925,6.236887454986572,Ba2Cu3O6.97Y1,cuprate
89182.cif,6.161887682376894,6.194728374481201,Ba2Ca0.2Cu3O7Y0.8,cuprate
44489.cif,2.5360529002402097,3.0281929969787598,Mo5B2Si1,others
619390.cif,3.700439718141092,3.784712314605713,Ca1Li2,others
42917.cif,3.3219280948873626,3.191561460494995,Mo3Al2C1,others
161918.cif,4.9140860970127225,5.127877712249756,B1.84C0.16Li0.09Mg0.91,others
618304.cif,2.887525270741588,3.1534669399261475,Mo3C2,others
105228.cif,2.700439718141092,3.951831102371216,Nb3Si0.6Sn0.4,others
161917.cif,5.153805336079036,5.115792751312256,B1.96C0.04Li0.06Mg0.94,others
638675.cif,3.1546156113268946,2.578664541244507,Hf0.5Nb0.5,others
618377.cif,4.161887682376894,3.7122068405151367,Nb1C0.5N0.5,others
628435.cif,3.408032466130653,3.089151382446289,Mo6Cu2S8,others
641056.cif,2.3267291770113157,2.373110055923462,Ir4Sr3Sn13,others
88210.cif,2.584962500721156,2.9210262298583984,Zr1V1Ge1,others
196888.cif,3.6667565918848037,3.6142401695251465,C1Mo0.15Nb0.85,others
609358.cif,4.008988783227255,3.8759231567382812,Al0.1Si0.9V3,others
74368.cif,4.807354922057604,5.856758117675781,K3H3C60N1,others
196699.cif,3.053111336459563,3.8632266521453857,Nb3Si0.5Sn0.5,others
105079.cif,3.3219280948873626,3.6825931072235107,Mo0.75Re0.25,others
106145.cif,3.4581194811745064,3.6171770095825195,Tc0.95V0.05,others
261540.cif,4.517275693209582,3.947192907333374,Hf1Na0.28N1Cl1,others
616698.cif,2.3362833878644325,2.5504000186920166,Bi0.1In0.9,others
108146.cif,2.3434078222978143,2.897239923477173,Ir2Ca1,others
161920.cif,4.902073579310742,5.12326192855835,B1.88C0.12Li0.11Mg0.89,others
291998.cif,2.584962500721156,2.813750743865967,Nb4Co1Si1,others
58829.cif,3.008988783227255,2.8850536346435547,Pb0.375Bi0.625,others
645246.cif,2.7548875021634687,2.4880728721618652,Nb0.25Re0.75,others
33819.cif,3.1210154009613658,3.658823013305664,Pb0.85Bi0.15Ba1O3,others
253417.cif,3.1043366598147353,2.609416961669922,Ta0.25Nb0.25Ti0.5,others
418391.cif,2.7441610955704103,2.639328956604004,Sr1Al1Ge1,others
Tb1H2.cif,3.010779838753243,4.40162467956543,Tb1H2,h-riched
H9Y1.cif,7.965784284662087,6.448020935058594,H9Y1,h-riched
Ge1H3.cif,6.491853096329675,5.205695629119873,Ge1H3,h-riched
Fe1H5.cif,5.517275693209581,6.7749857902526855,Fe1H5,h-riched
H4Y1.cif,6.569855608330948,6.257742404937744,H4Y1,h-riched
H3S1_175.cif,7.491853096329675,7.688319206237793,H3S1,h-riched
