,H,He,Li,Be,B,C,N,O,F,Ne,Na,Mg,Al,Si,P,S,Cl,Ar,K,Ca,Sc,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,Ge,As,Se,Br,Kr,Rb,Sr,Y,Zr,Nb,Mo,Tc,Ru,Rh,Pd,Ag,Cd,In,Sn,Sb,Te,I,Xe,Cs,Ba,La,Ce,Pr,Nd,Pm,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,W,Re,Os,Ir,Pt,Au,Hg,Tl,Pb,Bi,Po,At,Rn,Fr,Ra,Ac,Th,Pa,U,Np,Pu,Am,Cm,Bk,Cf,Es,Fm
H,7.683771133422852,9.146748542785645,5.178989410400391,5.77439022064209,6.345363616943359,7.034993648529053,7.775546550750732,8.513837814331055,9.357990264892578,7.740120887756348,4.191342830657959,5.138247489929199,5.36715030670166,5.329042434692383,6.049408435821533,6.461883544921875,6.903580665588379,7.131801605224609,5.127179145812988,6.939749717712402,3.936844825744629,4.123477935791016,4.322877407073975,4.350602626800537,4.684118747711182,4.866706371307373,5.078577041625977,5.297443866729736,5.205001354217529,5.512115955352783,6.31448221206665,5.111742973327637,5.694582462310791,5.8166584968566895,6.114605903625488,6.107877731323242,5.4040632247924805,5.179722785949707,5.144680976867676,3.8513824939727774,4.007684707641602,4.1595611572265625,4.393340587615967,4.508137702941895,4.695585250854492,4.587824821472168,4.987344741821289,5.224989891052246,5.839938640594482,6.13764762878418,5.128684520721436,5.300248146057129,5.643203258514404,5.599914073944092,4.508408546447754,5.525882720947266,4.33967399597168,3.9035511016845694,4.064023017883301,4.034920692443848,4.055336952209473,4.000353813171387,4.0183539390563965,4.117116928100586,4.014977931976318,4.049341678619385,4.094519138336182,4.143707752227783,4.203351974487305,4.21728515625,4.2901692390441895,4.252516269683838,2.978752613067627,2.986288070678711,3.106894016265869,3.238494396209717,3.404904365539551,3.5120205879211426,3.63701844215393,3.741841554641724,4.217283248901367,4.5175089836120605,3.8556625843048096,4.086084365844727,4.183645725250244,4.145688056945801,3.6599550247192383,4.088257312774658,3.47317886352539,3.624458551406861,3.341096878051758,3.3131425380706787,3.312854766845703,3.65668249130249,3.656875133514404,3.4205987453460693,3.747737407684326,3.792403697967529,3.828030586242676,3.9022536277771
He,9.14674949645996,10.70386028289795,6.704920768737793,7.464105606079102,7.73322868347168,8.535614967346191,9.301213264465332,10.010478973388672,10.819199562072754,9.128623962402344,5.547388553619385,6.485347270965576,6.673074722290039,6.6317458152771,7.376560688018799,7.798713684082031,8.251812934875488,8.450927734375,6.602054119110107,8.310873031616211,5.325274467468262,5.509613037109375,5.720565319061279,5.767415046691895,6.065793037414551,6.248303413391113,6.475093364715576,6.680212020874023,6.626559734344482,6.89404296875,7.693947792053223,6.543891906738281,7.144667148590088,7.259824275970459,7.555060386657715,7.542754650115967,7.130724906921387,6.63241720199585,6.582663536071777,5.214922904968262,5.432063579559326,5.610945224761963,5.834639549255371,5.997769832611084,6.193783283233643,6.204365253448486,6.507543563842773,6.739065647125244,7.286404132843018,7.613004684448242,6.727468490600586,6.91114616394043,7.187662124633789,7.193427562713623,6.446281433105469,7.23792839050293,5.965230941772461,5.456252574920654,5.811648368835449,5.805240631103516,5.833782196044922,5.796291351318359,5.820324420928955,5.781495571136475,5.827709674835205,5.846621513366699,5.875348567962647,5.910783767700195,5.966129779815674,5.96539306640625,6.008017063140869,5.965063095092773,4.36888313293457,4.391268730163574,4.540956974029541,4.668631076812744,4.847855567932129,4.935302734375,5.0732927322387695,5.1883463859558105,5.784397125244141,6.135008335113525,5.28444242477417,5.560336112976074,5.683835029602051,5.5732741355896,4.949856758117676,5.602305889129639,4.61663293838501,4.805384635925293,4.515225410461426,4.311694145202637,4.326918601989746,4.629203796386719,4.641769409179688,4.359068870544434,4.773339748382568,4.787381172180176,4.824636459350586,4.867591857910156
Li,5.178988933563232,6.704921245574951,2.2188403606414795,3.111196756362915,3.429502487182617,4.263876438140869,5.093520641326904,5.82195520401001,6.662117958068848,4.999497890472412,1.5558582544326782,2.066102266311645,2.1948041915893555,2.191664695739746,2.874173402786255,3.335659503936768,3.783414363861084,3.8913381099700928,2.847620248794556,4.157521724700928,1.8319610357284544,1.883562684059143,1.9575704336166384,1.9536523818969729,2.0977537631988525,2.1608424186706543,2.2486610412597656,2.345566987991333,2.3559532165527344,2.5847623348236084,3.150343418121338,2.5013394355773926,2.735100269317627,2.873797416687012,3.072049140930176,3.135092735290528,3.365976095199585,2.85956072807312,2.839111089706421,2.21590256690979,2.2323012351989746,2.27966833114624,2.3796322345733643,2.4009387493133545,2.471219539642334,2.2703633308410645,2.616248846054077,2.8155946731567383,3.00921368598938,3.4578988552093506,2.699293613433838,2.8197996616363525,2.974018096923828,3.101317405700684,2.608564138412476,3.303098678588867,2.710902690887451,2.656003952026367,2.4091567993164062,2.367501974105835,2.346693992614746,2.2995729446411133,2.2780208587646484,2.674083709716797,2.269233465194702,2.266232490539551,2.266596794128418,2.2732980251312256,2.2847354412078857,2.312602996826172,2.4934170246124268,2.463768720626831,1.9282450675964355,1.910614371299744,1.97030508518219,2.052701473236084,2.130537509918213,2.245806932449341,2.3223416805267334,2.4146807193756104,2.483493089675904,2.6573262214660645,2.456367254257202,2.534893274307251,2.5883688926696777,2.7121152877807617,2.4400765895843506,2.909677267074585,2.526317596435547,2.651683807373047,2.39553165435791,2.4830124378204346,2.469969749450684,2.773715019226074,2.7683990001678467,2.5576696395874023,2.8166747093200684,2.872178077697754,2.8965418338775635,2.962562561035156
Be,5.774390697479248,7.46410608291626,3.111197233200073,3.995345115661621,4.245516300201416,5.105082511901856,5.908896446228027,6.62260627746582,7.45192813873291,5.817163944244385,1.9547799825668333,2.893690347671509,3.012868404388428,2.951465845108032,3.812837600708008,4.276047229766846,4.732250690460205,4.792170524597168,3.1770663261413574,4.821336269378662,2.069321393966675,2.1368956565856934,2.231074094772339,2.2274630069732666,2.444787979125977,2.579386711120605,2.7566111087799072,2.918630361557007,2.9352266788482666,3.170261144638061,3.833592176437378,2.9320297241210938,3.3473458290100098,3.47393012046814,3.6957039833068848,3.720980167388916,3.712072610855103,3.22949743270874,3.1578478813171387,2.41064453125,2.4588606357574463,2.535095691680908,2.654571533203125,2.6918957233428955,2.779049634933472,2.596116781234741,2.9631643295288086,3.1935384273529053,3.611226797103882,3.9991745948791504,3.0575170516967773,3.1955182552337646,3.433346748352051,3.491409540176392,3.0549473762512207,3.7276673316955566,2.9551801681518555,2.883484363555908,2.6298131942749023,2.581914186477661,2.5593485832214355,2.516144037246704,2.504401922225952,2.866266965866089,2.48580265045166,2.478383302688598,2.4747238159179688,2.4801411628723145,2.49744176864624,2.53011155128479,2.6923508644104004,2.664770126342773,2.062151432037353,2.0121500492095947,2.0652995109558105,2.158770799636841,2.255078315734864,2.3635470867156982,2.4504289627075195,2.541963577270508,2.723720073699951,2.9437344074249268,2.601621627807617,2.697054147720337,2.7722654342651367,2.856745481491089,2.693087577819824,3.1097707748413086,2.636209011077881,2.7617483139038086,2.49131441116333,2.600006580352783,2.5845260620117188,2.9007396697998047,2.8965392112731934,2.6811976432800293,2.953633069992065,3.0017218589782715,3.022913694381714,3.0793280601501465
B,6.345363616943359,7.733230113983154,3.429502248764038,4.245516300201416,4.54596757888794,5.3445916175842285,6.142576217651367,6.871585845947266,7.718272686004639,6.090121746063232,2.339226007461548,3.137513399124145,3.201603889465332,3.1794567108154297,3.976586818695069,4.437086582183838,4.892046928405762,4.981403827667236,3.754782676696777,5.065045833587647,2.384856700897217,2.443171739578247,2.521437168121338,2.518632411956787,2.692659854888916,2.8027617931365967,2.9429471492767334,3.074858427047729,3.0663485527038574,3.283021926879883,3.887361526489258,3.133652210235596,3.4266719818115234,3.5642166137695312,3.7835097312927246,3.834761619567871,4.103378772735596,3.46793794631958,3.4158318042755127,2.8020501136779785,2.8397228717803955,2.8978891372680664,2.9947168827056885,3.0513243675231934,3.133166074752808,2.937655448913574,3.3153929710388184,3.52841854095459,3.817434310913086,4.2247314453125,3.3824028968811035,3.502413272857666,3.728826522827149,3.8299386501312256,3.1977131366729736,4.035661220550537,3.312535524368286,3.231829643249512,3.0073258876800537,2.955448627471924,2.9292337894439697,2.8608617782592773,2.83316707611084,3.245163917541504,2.756450891494751,2.733139038085937,2.7231149673461914,2.720437526702881,2.722385883331299,2.71190881729126,3.0024125576019287,2.957122325897217,2.2465028762817383,2.1763851642608643,2.225999116897583,2.292921781539917,2.349167823791504,2.4007818698883057,2.459122657775879,2.552216053009033,2.7300350666046143,2.977633237838745,2.6155617237091064,2.685598850250244,2.772897243499756,2.856953382492065,2.5862982273101807,3.0715017318725586,2.766319274902344,2.8631432056427,2.6983425617218018,2.759675979614258,2.744446039199829,2.8415846824646,2.8332598209381104,2.750479459762573,2.888980865478516,2.918327569961548,2.9292469024658203,2.9775187969207764
C,7.034993171691895,8.535614967346191,4.263875484466553,5.105082988739014,5.3445916175842285,6.159442901611328,6.982426166534424,7.718139171600342,8.548129081726074,6.876712799072266,2.981485843658448,4.061935424804688,4.172381401062012,4.059995651245117,4.912242889404297,5.378513336181641,5.844154357910156,5.925725936889648,4.295291900634766,5.853991985321045,2.7401413917541504,2.852468490600586,3.004135131835937,3.0337815284729004,3.286340475082397,3.431967496871948,3.620364427566528,3.815705537796021,3.8010544776916495,4.051783084869385,4.760224342346191,3.77177357673645,4.219048500061035,4.351256370544434,4.6175150871276855,4.626986503601074,4.725707054138184,4.071078300476074,3.97509765625,3.2231132984161377,3.297091484069824,3.3792920112609863,3.5012190341949463,3.5572967529296875,3.691176891326904,3.54245662689209,3.963381290435791,4.208162784576416,4.611580848693848,4.948561191558838,4.028554439544678,4.176024913787842,4.45236349105835,4.505499362945557,3.9228665828704834,4.722035884857178,3.729297876358032,3.66199254989624,3.432492256164551,3.390317916870117,3.3703322410583496,3.302088499069214,3.2842516899108887,3.632418632507324,3.2314705848693848,3.221595764160156,3.231438398361206,3.244724988937378,3.273399829864502,3.2726638317108154,3.444713592529297,3.3962182998657227,2.532459020614624,2.432020664215088,2.482736110687256,2.5523886680603027,2.6123476028442383,2.67084002494812,2.7333626747131348,2.8410732746124268,3.1722748279571533,3.467683792114258,2.887495517730713,3.037631034851074,3.156423568725586,3.1915671825408936,2.9331655502319336,3.458153247833252,3.0709619522094727,3.153621196746826,2.929272174835205,3.044283628463745,3.025053024291992,3.0956358909606934,3.085567712783813,3.0547800064086914,3.147409200668335,3.17638897895813,3.1916391849517822,3.2465643882751465
N,7.775547027587891,9.301213264465332,5.093521118164063,5.908895969390869,6.142576217651367,6.982425689697266,7.789490222930908,8.513751029968262,9.333587646484377,7.648975372314453,3.810565233230591,4.934365272521973,5.057947635650635,4.948124885559082,5.812805652618408,6.257017135620117,6.710878372192383,6.823632717132568,4.985313892364502,6.697310447692871,3.393810272216797,3.5504965782165527,3.736713409423828,3.775134563446045,4.072437286376953,4.250627040863037,4.465421676635742,4.677720069885254,4.651477813720703,4.922286510467529,5.726116180419922,4.587246894836426,5.120534420013428,5.249302864074707,5.541305541992188,5.521907806396484,5.387026786804199,4.797121047973633,4.697943210601807,3.729343891143799,3.863803863525391,3.990467786788941,4.154757022857666,4.30082893371582,4.473410606384277,4.418365478515625,4.799083232879639,5.034168720245361,5.476401329040527,5.790405750274658,4.9174394607543945,5.088527679443359,5.402301788330078,5.415676116943359,4.742882251739502,5.588688850402832,4.309196472167969,4.164259910583496,4.060604095458984,4.029745101928711,4.034584045410156,3.9853358268737793,3.99328088760376,4.147698879241943,3.985311985015869,3.99112868309021,4.0130109786987305,4.03894567489624,4.079909801483154,4.077892303466797,4.164475440979004,4.124920845031738,2.9802699089050293,2.8794915676116943,2.9236621856689453,2.979176044464112,3.0748655796051025,3.1311240196228027,3.2246553897857666,3.345616340637207,3.795364379882813,4.154125690460205,3.412760257720948,3.615598201751709,3.733814477920532,3.706642866134644,3.39843225479126,3.926332473754883,3.4143104553222656,3.4909582138061523,3.331186532974243,3.3816580772399902,3.3633337020874023,3.393638134002685,3.390058279037476,3.3581104278564453,3.469503164291382,3.4839441776275635,3.495391368865967,3.5332789421081543
O,8.513837814331055,10.010478019714355,5.82195520401001,6.62260627746582,6.871586799621582,7.7181396484375,8.513751029968262,9.231121063232422,10.050650596618652,8.34399700164795,4.578624725341797,5.659552097320557,5.795602321624756,5.698729038238525,6.543974876403809,6.994645595550537,7.444357395172119,7.587363243103027,5.7551751136779785,7.486083030700684,4.146251201629639,4.30964469909668,4.49856424331665,4.545226573944092,4.851449966430664,5.043515682220459,5.272338390350342,5.494466781616211,5.464380741119385,5.740678310394287,6.582312107086182,5.391321182250977,5.973668575286865,6.108386039733887,6.404066562652588,6.38770866394043,6.160464286804199,5.565473556518555,5.498354911804199,4.345245361328125,4.513089656829834,4.671113967895508,4.850883483886719,5.043463230133057,5.248844146728516,5.293204784393311,5.598360538482666,5.82729959487915,6.303765296936035,6.6005730628967285,5.818845272064209,6.014084815979004,6.2736406326293945,6.2931671142578125,5.668455123901367,6.450584888458252,5.090865612030029,4.726710796356201,4.891780376434326,4.870973587036133,4.893556594848633,4.8580427169799805,4.874986171722412,4.862894535064697,4.875502586364746,4.890074253082275,4.919556617736816,4.959772109985352,5.020174026489258,5.015925884246826,5.029297351837158,4.9889235496521,3.536804676055908,3.433802604675293,3.521361827850342,3.6050636768341056,3.737759590148926,3.7807939052581774,3.8922877311706543,4.030343532562256,4.5920844078063965,4.990574836730957,4.079813003540039,4.322051048278809,4.476413726806641,4.400428295135498,3.984585285186768,4.5193376541137695,3.841077327728272,3.9428186416625977,3.812724351882935,3.787463665008545,3.777643203735352,3.8088765144348153,3.808558940887451,3.740744113922119,3.91476321220398,3.931147336959839,3.9540200233459473,3.989381313323975
F,9.357989311218262,10.819199562072754,6.662117958068848,7.451928615570068,7.718271732330322,8.54813003540039,9.33358669281006,10.050649642944336,10.868884086608888,9.15644073486328,5.421591758728027,6.478969097137451,6.627041339874268,6.54124116897583,7.370223045349121,7.805592536926269,8.253645896911621,8.411551475524902,6.562259674072266,8.321105003356934,5.024057388305664,5.185466766357422,5.3687238693237305,5.397647380828857,5.70712947845459,5.895484924316406,6.12308931350708,6.342477321624756,6.296321392059326,6.583240985870361,7.446345806121826,6.2293009757995605,6.832913398742676,6.971992492675781,7.280214786529541,7.260693550109863,6.964345455169678,6.383514881134033,6.356317520141602,5.056026458740234,5.26730489730835,5.44406270980835,5.64677619934082,5.8477277755737305,6.056666851043701,6.140111923217773,6.410895347595215,6.637243270874023,7.160421848297119,7.450229167938232,6.680335521697998,6.882935047149658,7.131155967712402,7.150129318237305,6.566587448120117,7.335172176361084,5.997294902801514,5.50829029083252,5.886964321136475,5.88645076751709,5.922046184539795,5.888795852661133,5.917530059814453,5.790402412414551,5.948483467102051,5.9711594581604,6.004891872406006,6.041273593902588,6.093538284301758,6.090224266052246,6.061474800109863,6.026836395263672,4.360197067260742,4.323966503143311,4.449703216552734,4.545754909515381,4.702651023864746,4.74614953994751,4.87959098815918,5.02550745010376,5.645323753356934,6.080289840698242,5.036579132080078,5.320333957672119,5.494611740112305,5.347222328186035,4.829695701599121,5.48008394241333,4.507478713989258,4.64923620223999,4.466198444366455,4.309324264526367,4.308023452758789,4.338708400726318,4.348413944244385,4.189252853393555,4.479780673980713,4.477152824401856,4.501627445220947,4.523260593414307
Ne,7.740119934082031,9.12862491607666,4.999497413635254,5.817164421081543,6.090122222900391,6.876713275909424,7.648974418640137,8.343996047973633,9.156441688537598,7.475495338439941,3.575472831726074,4.702614784240723,4.822526931762695,4.707377433776856,5.576671600341797,6.023916244506836,6.470540523529053,6.546980381011963,4.853314399719238,6.561522483825684,3.298819303512573,3.431803703308105,3.602825164794922,3.654703140258789,3.909672737121582,4.075071334838867,4.290031909942627,4.503191947937012,4.515390872955322,4.774783611297607,5.559332370758057,4.475076675415039,4.987995147705078,5.120423793792725,5.397648811340332,5.394264221191406,5.267739295959473,4.714028358459473,4.610113620758057,3.717464447021485,3.85437273979187,3.993065595626831,4.138486385345459,4.299591064453125,4.478307723999023,4.528788089752197,4.813564777374268,5.041932106018066,5.481387615203857,5.759847640991211,5.024712562561035,5.194309711456299,5.451376438140869,5.49323320388794,4.906219005584717,5.736916542053223,4.526534557342529,4.38114595413208,4.310742378234863,4.272536277770996,4.26938533782959,4.21964693069458,4.223716735839844,4.364011764526367,4.241511344909668,4.254602432250977,4.281239986419678,4.316264629364014,4.3639068603515625,4.3791608810424805,4.376019477844238,4.3437323570251465,3.347445487976074,3.27920150756836,3.3432350158691406,3.3966846466064453,3.498157262802124,3.5490550994873047,3.6429519653320312,3.7737417221069336,4.19052791595459,4.537588119506836,3.823014736175537,4.010128498077393,4.1541008949279785,4.129489421844482,3.781504631042481,4.282638549804688,3.704576015472412,3.775848388671875,3.640310049057007,3.625760078430176,3.622044563293457,3.5696730613708496,3.566447257995605,3.570732355117798,3.650949239730835,3.646538257598877,3.654380798339844,3.670088768005371
