,avg,color
H,4.837859122753144,medium
He,6.290959129333496,high
Li,2.782939336299896,low
Be,3.1606469452381134,low
B,3.366723966598511,low
C,3.9204405045509336,medium
N,4.604267315864563,medium
O,5.334768855571747,high
F,6.186752548217774,high
Ne,4.681755511760712,medium
Na,2.5133657205104827,low
Mg,2.7010629785060885,low
Al,2.772051012516022,low
Si,2.950672507286072,low
P,3.2510534930229187,low
S,3.5912700963020323,low
Cl,3.934638097286225,medium
Ar,4.25399685382843,medium
K,3.150027687549591,low
Ca,4.127067921161651,medium
Sc,2.8592157053947447,low
Ti,2.8957754385471346,low
V,2.936101804971695,low
Cr,2.860580928325653,low
Mn,2.9969104599952696,low
Fe,3.0202971291542053,low
Co,3.047505955696106,low
Ni,3.076327216625214,low
Cu,2.9626770973205567,low
Zn,3.135979130268097,low
Ga,3.396988241672516,low
Ge,3.0352760577201843,low
As,3.15757364988327,low
Se,3.276547102928161,low
Br,3.414435021877289,low
Kr,3.542176070213318,low
Rb,3.3590762495994566,low
Sr,3.135162386894226,low
Y,3.5631135177612303,low
Zr,3.042736282348633,low
Nb,3.0231685280799865,low
Mo,3.033895616531372,low
Tc,3.092070062160492,low
Ru,3.056287634372711,low
Rh,3.069011425971985,low
Pd,2.852810170650482,low
Ag,3.1206064200401307,low
Cd,3.2302308773994444,low
In,3.309908051490784,low
Sn,3.541356580257416,low
Sb,3.232244539260864,low
Te,3.323107686042785,low
I,3.395203275680542,low
Xe,3.4864160013198853,low
Cs,2.923388125896454,low
Ba,3.410248453617096,low
La,3.423191785812378,low
Ce,3.619026975631714,low
Pr,3.2016711759567262,low
Nd,3.156595685482025,low
Pm,3.110667095184326,low
Sm,3.0741551184654234,low
Eu,3.0355063247680665,low
Gd,3.503910119533539,low
Tb,2.9790904569625853,low
Dy,2.9587830924987792,low
Ho,2.937650980949402,low
Er,2.919857988357544,low
Tm,2.903261423110962,low
Yb,2.8957798409461977,low
Lu,3.2438226437568662,low
Hf,3.2290171504020693,low
Ta,2.808973060846329,low
W,2.703666017055512,low
Re,2.724008024930954,low
Os,2.758829243183136,low
Ir,2.791006636619568,low
Pt,2.825685064792633,low
Au,2.865118820667267,low
Hg,2.929366879463196,low
Tl,3.113615312576294,low
Pb,3.263445031642914,low
Bi,3.058019406795501,low
Po,3.117675013542175,low
At,3.171505947113037,low
Rn,3.2706407380104063,low
Fr,3.095413444042206,low
Ra,3.4954600501060487,low
Ac,3.436796088218689,low
Th,3.492727844715118,low
Pa,3.665577144622803,low
U,3.6330620527267454,low
Np,3.592409698963165,low
Pu,3.346091449260712,low
Am,3.309457247257233,low
Cm,3.493029577732086,low
Bk,3.342383368015289,low
Cf,3.331589658260345,low
Es,3.313681559562683,low
Fm,3.318165431022644,low
