,pred
Ca1H6_140.cif,226.7204806
Ca1H6_150.cif,231.1539904
Ca1H6_155.cif,233.7038654
Ca1H6_165.cif,237.8682352
Ca1H6_172.cif,240.3400165
Ce1H9_102.cif,169.8503796
Ce1H9_130.cif,185.97615
Ce1H9_140.cif,190.2341421
Ce1H9_145.cif,192.1994122
Ce1H9_150.cif,194.2593859
Ce1H9_90.cif,160.4022486
H2S1_115.cif,54.08440059
H2S1_122.cif,56.27668809
H2S1_129.cif,58.52680272
H2S1_135.cif,60.33228596
H2S1_145.cif,63.46336424
H2S1_155.cif,66.56036828
H2S1_161.cif,66.56036828
H2S1_177.cif,73.67450355
H3S1_155.cif,114.1914211
H3S1_175.cif,142.5108281
H3S1_200.cif,153.2804902
H3S1_225.cif,166.9743784
La1H10_135.cif,246.1112392
La1H10_145.cif,251.5429374
La1H10_150.cif,253.8407879
Y1H6_100.cif,173.8630165
Y1H6_200.cif,225.9380135
Y1H6_250.cif,284.3345076
Y1H6_300.cif,302.2037967
Y1H6_350.cif,311.8249655
