,H,He,Li,Be,B,C,N,O,F,Ne,Na,Mg,Al,Si,P,S,Cl,Ar,K,Ca,Sc,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,Ge,As,Se,Br,Kr,Rb,Sr,Y,Zr,Nb,Mo,Tc,Ru,Rh,Pd,Ag,Cd,In,Sn,Sb,Te,I,Xe,Cs,Ba,La,Ce,Pr,Nd,Pm,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,W,Re,Os,Ir,Pt,Au,Hg,Tl,Pb,Bi,Po,At,Rn,Fr,Ra,Ac,Th,Pa,U,Np,Pu,Am,Cm,Bk,Cf,Es,Fm
H,7.618655681610107,10.06702995300293,3.962907552719116,5.1604323387146,5.231156826019287,6.460966110229492,7.765359878540039,8.994208335876465,10.389843940734863,8.443489074707031,3.32942271232605,4.39595365524292,4.683899879455566,4.958098888397217,6.050654411315918,6.800618171691895,7.653817653656006,8.390707015991211,4.589728832244873,7.090067863464356,3.505958080291748,3.802511215209961,4.129139423370361,4.046074867248535,4.60776424407959,4.866833209991455,5.175090312957764,5.468474388122559,5.170456409454346,5.937531471252441,6.491179466247559,5.306612968444824,5.924887180328369,6.287589550018311,6.853088855743408,7.229066371917725,7.0458855628967285,6.285282611846924,6.187263488769531,3.457555294036865,3.714685678482056,3.9077420234680176,4.312331676483154,4.406028270721436,4.663722038269043,3.88612961769104,5.21919059753418,5.688078880310059,6.180587291717529,6.962880611419678,5.466904163360596,5.760743141174316,6.137998104095459,6.319494724273682,5.207802772521973,6.980562686920166,4.868584156036377,5.053332805633545,4.4534525871276855,4.358037948608398,4.226887226104736,4.093937397003174,3.900918960571289,4.887228488922119,3.720799207687378,3.7254834175109854,3.6708908081054688,3.611123561859131,3.5050318241119385,3.456937074661255,3.911847114562988,3.942683219909668,3.521036148071289,2.941166639328003,3.021117210388184,3.1200246810913086,3.3097314834594727,3.5724990367889404,3.644943237304688,3.501739978790283,4.186354637145996,4.382806301116943,4.33939790725708,4.424963474273682,4.574530124664307,4.5516133308410645,4.8635101318359375,6.088157653808594,3.958386898040772,4.382950305938721,5.881138324737549,5.241257667541504,5.084985256195068,3.729169368743897,3.541798114776612,4.471842288970947,4.327875137329102,4.180784702301025,4.125875949859619,4.056577205657959
He,8.461175918579102,10.107112884521484,5.314060688018799,6.299010753631592,6.311660289764404,7.386054039001465,8.389999389648438,9.363969802856444,10.441446304321287,8.992231369018555,4.571285724639893,5.777883052825928,5.914925575256348,5.965624809265137,7.01821756362915,7.5552144050598145,8.180777549743652,8.534344673156738,5.31953239440918,7.334306240081787,4.446411609649658,4.7152485847473145,5.049765586853027,5.129927635192871,5.549581050872803,5.843972206115723,6.175959587097168,6.4767022132873535,6.395540237426758,6.960780620574951,7.175727367401123,6.321214199066162,7.026047229766846,7.278990268707275,7.709995746612549,7.7929768562316895,7.158650875091553,6.56666898727417,6.238162517547607,4.354498863220215,4.733661651611328,4.940627098083496,5.225881099700928,5.4422287940979,5.750644207000732,5.24384355545044,6.275870800018311,6.588358402252197,6.915156841278076,7.231420993804932,6.521535396575928,6.740075588226318,7.156008243560791,7.06418514251709,5.895572185516357,7.104611396789551,5.159017086029053,5.299684047698975,4.957799911499023,4.898345947265625,4.751890182495117,4.585193157196045,4.503452301025391,5.067252159118652,4.330918788909912,4.3355889320373535,4.306556224822998,4.304428577423096,4.217539310455322,4.177733421325684,4.280183792114258,4.338922500610352,4.170970916748047,3.739233255386353,3.875700950622559,3.996126174926758,4.192139625549316,4.580641269683838,4.692579746246338,4.428602695465088,5.035556316375732,5.064651012420654,5.251161575317383,5.382230758666992,5.5120110511779785,5.320181369781494,5.564481258392334,6.475485801696777,4.428033828735352,4.808570384979248,6.225188732147217,5.4389472007751465,5.328146934509277,4.277382850646973,4.113370895385742,4.685173034667969,4.659642219543457,4.543696403503418,4.515477657318115,4.474264621734619
Li,5.697573661804199,8.757369995117188,2.0801568031311035,3.1062204837799072,3.247779607772827,4.704324245452881,6.241675853729248,7.723154544830322,9.362176895141602,7.031402587890625,1.6087589263916016,2.5859384536743164,2.812352180480957,2.8697614669799805,4.103363513946533,4.949947357177734,5.988114833831787,6.6676225662231445,3.998911857604981,5.993644237518311,2.274033308029175,2.3401923179626465,2.499317169189453,2.49467134475708,2.7717432975769043,2.978562831878662,3.2431554794311523,3.523322343826294,3.410605907440185,3.934372186660767,4.802649974822998,3.4094693660736084,4.09374475479126,4.475615501403809,5.108823299407959,5.286999225616455,6.7423415184021,5.0321784019470215,4.552535057067871,2.2541332244873047,2.379056692123413,2.4761219024658203,2.6246449947357178,2.703947067260742,2.899017095565796,2.254228115081787,3.253486156463623,3.680809259414673,4.440011024475098,5.1582231521606445,3.5853395462036133,3.84221124649048,4.278083801269531,4.343711853027344,5.034465312957764,6.296017169952393,3.5178041458129883,4.340882778167725,3.3416543006896973,3.157736301422119,2.927023410797119,2.6897635459899902,2.4877820014953613,3.8052806854248047,2.2778213024139404,2.2370376586914062,2.2111704349517822,2.220255136489868,2.216693878173828,2.2345595359802246,3.096697330474853,3.097668170928955,2.5795698165893555,1.995675802230835,2.039607524871826,2.090798139572144,2.175473690032959,2.414748191833496,2.4910097122192383,2.3132119178771973,3.1889145374298096,3.4230282306671143,3.237513303756714,3.4044833183288574,3.577811479568481,3.510002851486206,4.57504940032959,5.711866855621338,2.821266889572144,3.132077217102051,4.816008567810059,4.397149085998535,4.1899518966674805,2.5180482864379883,2.30745005607605,3.623717784881592,2.926109790802002,2.812838554382324,2.751892805099488,2.7127280235290527
Be,6.3528828620910645,9.19463348388672,2.661224842071533,3.6822781562805176,3.97364354133606,5.404423236846924,6.886090755462647,8.295486450195312,9.851595878601074,7.600675106048584,2.023789167404175,3.063926219940185,3.445251941680908,3.5703580379486084,4.848687648773193,5.687901496887207,6.694592475891113,7.490464210510254,3.9221322536468506,6.382178783416748,2.5308754444122314,2.686873197555542,2.8990817070007324,2.891165018081665,3.3057188987731934,3.567037343978882,3.9123377799987793,4.238908767700195,4.022619247436523,4.709577083587647,5.391164302825928,3.971466302871704,4.837920665740967,5.155135631561279,5.827371597290039,6.101351261138916,6.786333560943604,5.359452724456787,5.086209297180176,2.4461138248443604,2.635909080505371,2.771399974822998,3.011521577835083,3.109079360961914,3.4013314247131348,2.740796089172364,3.8843843936920166,4.305271625518799,5.01963472366333,5.888136863708496,4.186790466308594,4.491599559783936,5.029707908630371,5.073430061340332,5.191192150115967,6.435340404510498,3.799222946166992,4.387298107147217,3.428802251815796,3.3034563064575195,3.114307880401612,2.9460904598236084,2.791126251220703,4.043489933013916,2.647446393966675,2.6179869174957275,2.59597396850586,2.6013312339782715,2.579710006713867,2.607844829559326,3.4162492752075195,3.412452459335327,2.8298799991607666,2.265344858169556,2.306759119033813,2.347664356231689,2.4476547241210938,2.705726861953736,2.7774105072021484,2.595925092697144,3.513099670410156,3.742788791656494,3.52295470237732,3.717629194259644,3.8743648529052734,3.803715944290161,4.787464618682861,5.699833869934082,2.971879005432129,3.284003973007202,5.180497646331787,4.559274673461914,4.37752628326416,2.7130160331726074,2.538623809814453,3.667251586914064,3.233367919921875,3.103494167327881,3.075457572937012,3.051987409591675
B,5.937781810760498,8.77520751953125,2.4519195556640625,3.5193185806274414,3.3236076831817627,4.670131206512451,6.196686267852783,7.617469310760498,9.25157356262207,7.046907901763916,2.1149444580078125,2.87019681930542,2.970987796783448,3.025273084640503,4.0715742111206055,4.846053600311279,5.803410530090332,6.45253849029541,4.158874988555908,6.025626182556152,2.509706974029541,2.5611228942871094,2.7121505737304688,2.7532830238342285,2.9655232429504395,3.1351444721221924,3.332038402557373,3.564396858215332,3.59468936920166,3.95611572265625,4.653039455413818,3.5306429862976074,4.093986034393311,4.400570392608643,4.994690418243408,5.101869583129883,6.718929290771484,5.100681304931641,4.466958522796631,2.5853097438812256,2.665121555328369,2.7557239532470703,2.859950304031372,2.958193302154541,3.101683616638184,2.5282092094421387,3.420466423034668,3.686706304550171,4.284946441650391,4.925421237945557,3.661511898040772,3.854975700378418,4.243925094604492,4.248491287231445,4.868437767028809,6.41233491897583,3.5139167308807373,4.323749542236328,3.498022556304932,3.2997546195983887,3.044617176055908,2.7824249267578125,2.596635103225708,3.7358319759368896,2.316385507583618,2.2556869983673096,2.22240686416626,2.210228443145752,2.18647837638855,2.175273895263672,2.9583218097686768,2.958981990814209,2.6860218048095703,2.1219184398651123,2.162536859512329,2.2130496501922607,2.279672622680664,2.532177925109864,2.5819807052612305,2.440762042999268,3.103422164916992,3.270837545394897,3.215813398361206,3.3313024044036865,3.446732521057129,3.3542349338531494,4.408459663391113,5.801342487335205,3.017717361450196,3.1597790718078613,4.684829711914063,4.380128383636475,4.17640495300293,2.6927881240844727,2.478480339050293,3.58913803100586,2.865863800048828,2.7222166061401367,2.6647934913635254,2.618614196777344
C,6.5266828536987305,9.185830116271973,3.251240968704224,4.288668632507324,4.117041110992432,5.350969314575195,6.755153179168701,8.09233283996582,9.71976375579834,7.571998119354248,2.444296360015869,3.6332991123199454,3.76491379737854,3.608689308166504,4.880808353424072,5.564421653747559,6.444518566131592,7.134923458099365,4.174601078033447,6.243692398071289,2.698378562927246,2.828523635864258,3.0323362350463867,3.1204400062561035,3.412942886352539,3.61843204498291,3.921674251556397,4.230853080749512,4.218514442443848,4.655153274536133,5.203744411468506,3.9910833835601807,4.778073787689209,5.075977802276611,5.640307426452637,5.748748302459717,6.8000922203063965,5.265020847320557,4.743544101715088,2.690734386444092,2.8870849609375,3.006874084472656,3.167176485061645,3.332286834716797,3.563392162322998,3.049377679824829,3.985842227935791,4.284397602081299,4.878893852233887,5.502575874328613,4.161652565002441,4.3905205726623535,4.8970561027526855,4.824574947357178,5.14844274520874,6.439964294433594,3.636026382446289,4.309468746185303,3.5385451316833496,3.3751463890075684,3.185375213623047,3.0036380290985107,2.832078456878662,3.8072450160980233,2.627580165863037,2.5953664779663086,2.608161687850952,2.5837719440460205,2.564021587371826,2.5502352714538574,3.065082550048828,3.090501308441162,2.872287511825561,2.3815720081329346,2.4197568893432617,2.4713134765625,2.547037363052368,2.8245959281921387,2.8922622203826904,2.688629627227783,3.431828022003174,3.49975061416626,3.534197330474853,3.6834158897399902,3.770428895950317,3.623615980148315,4.710958957672119,5.809502601623535,3.004476308822632,3.2572083473205566,4.88567590713501,4.375339984893799,4.176295757293701,2.824060201644897,2.629243850708008,3.5864734649658203,3.042720556259156,2.916700839996338,2.861783266067505,2.8081846237182617
N,7.265585422515869,9.516700744628906,4.040884971618652,5.132817268371582,4.959005355834961,6.110540866851807,7.231583118438721,8.490991592407227,10.009831428527832,8.041013717651367,3.173794746398926,4.488588809967041,4.595383644104004,4.453759670257568,5.639047145843506,6.20988130569458,7.000526905059815,7.559125900268555,4.4463372230529785,6.606653690338135,3.1924068927764893,3.3769593238830566,3.670908212661743,3.814824104309082,4.171797752380371,4.438652515411377,4.77640438079834,5.087615489959717,5.090089797973633,5.520110607147217,5.791314601898193,4.724090099334717,5.555745124816895,5.769534587860107,6.274967193603516,6.3399739265441895,6.866800785064697,5.624185085296631,5.171898365020752,3.136971473693848,3.4219777584075928,3.6151540279388414,3.806787252426148,4.078575611114502,4.332625389099121,3.805742740631104,4.828583240509033,5.051279544830322,5.497695446014404,6.054769039154053,4.958366870880127,5.193594455718994,5.634500503540039,5.507501602172852,5.329590320587158,6.581632614135742,3.992220878601074,4.526119232177734,3.884320020675659,3.742976427078247,3.572216510772705,3.444810152053833,3.311251640319824,4.164249897003174,3.188284397125244,3.189063310623169,3.14678692817688,3.1297483444213867,3.1206278800964355,3.067346811294556,3.3832011222839355,3.4145326614379883,3.213766098022461,2.7149691581726074,2.7840235233306885,2.855786085128784,3.00235366821289,3.3077211380004883,3.401524305343628,3.168400764465332,3.931132078170776,3.932741165161133,4.030562400817871,4.192916870117188,4.279160976409912,4.087316989898682,4.980838775634766,5.89378547668457,3.327932596206665,3.6869091987609854,5.216618061065674,4.639801502227783,4.447118759155273,3.188717842102051,3.0569539070129395,3.8754613399505615,3.547550916671753,3.434391021728516,3.38695764541626,3.3409013748168945
O,7.948129177093506,9.903120040893556,4.886058807373047,5.985228061676025,5.708005905151367,6.804595470428467,7.82845401763916,8.710323333740234,10.078657150268556,8.499493598937988,3.949640989303589,5.338473796844482,5.340420246124268,5.2718939781188965,6.366892337799072,6.88275146484375,7.533898830413818,7.922248840332031,4.970515727996826,6.926281929016113,3.771592378616333,4.014303684234619,4.336977005004883,4.50915002822876,4.862739086151123,5.150111198425293,5.503483295440674,5.826721668243408,5.827226638793945,6.272919178009033,6.401510715484619,5.490751266479492,6.261880874633789,6.5126142501831055,6.8979811668396,6.922341823577881,6.963106632232666,6.0539374351501465,5.531335830688477,3.701388359069824,4.059452533721924,4.281509876251221,4.503042697906494,4.7577996253967285,5.103802680969238,4.62070894241333,5.613397121429443,5.810783863067627,6.115736484527588,6.484992504119873,5.694602012634277,5.919253826141357,6.33466386795044,6.192018985748291,5.535336971282959,6.806060791015625,4.417519569396973,4.753275871276856,4.350813388824463,4.231418132781982,4.101995944976807,3.977532625198364,3.815441608428955,4.461222171783447,3.71288013458252,3.72257661819458,3.739754676818848,3.6819446086883545,3.674509286880493,3.645285844802856,3.673790693283081,3.732377767562866,3.585202932357788,3.1253042221069336,3.2211809158325195,3.319545030593872,3.4749197959899902,3.814836025238037,3.933872222900391,3.721301317214966,4.457200527191162,4.462733268737793,4.533134460449219,4.723699569702148,4.80405855178833,4.607440948486328,5.2822041511535645,6.166447639465332,3.8159337043762207,4.200109004974365,5.5552167892456055,4.865513324737549,4.748703002929688,3.636198043823242,3.53200101852417,4.172180652618408,4.073666095733643,3.959139347076416,3.928541898727417,3.883849620819092
F,8.794740676879883,10.35715389251709,5.914504051208496,6.942360877990723,6.645322322845459,7.707951068878174,8.659745216369629,9.406612396240234,10.247581481933594,9.225286483764648,4.930069923400879,6.347186088562012,6.291595935821533,6.2336602210998535,7.284745693206787,7.77696943283081,8.364273071289062,8.599166870117188,5.675439357757568,7.525108814239502,4.60225772857666,4.8574652671813965,5.181784152984619,5.396872043609619,5.756331920623779,6.049844264984131,6.421558380126953,6.7455220222473145,6.711087226867676,7.162878036499023,7.267733573913574,6.411195278167725,7.140964984893799,7.3533148765563965,7.774451732635498,7.810922145843506,7.241116046905518,6.800898551940918,6.217672824859619,4.4882354736328125,4.920525074005127,5.156871318817139,5.380710601806641,5.709447383880615,6.031431198120117,5.6038103103637695,6.530681610107422,6.7451653480529785,7.043184757232666,7.2594170570373535,6.606520652770996,6.808313846588135,7.182304859161377,7.090396404266357,6.01422119140625,7.262900352478027,5.139269828796387,5.190810680389404,5.031404972076416,4.998230457305908,4.846839427947998,4.757754325866699,4.728817462921143,4.91156816482544,4.622876167297363,4.685957431793213,4.670466899871826,4.594790935516357,4.539967060089111,4.494252681732178,4.195898056030273,4.269500255584717,4.137387752532959,3.709348440170288,3.8378384113311768,3.9570062160491934,4.162229061126709,4.545536518096924,4.67291259765625,4.465653896331787,5.181741714477539,5.244226932525635,5.2118239402771,5.406526565551758,5.495225429534912,5.2829461097717285,5.769276142120361,6.6562933921813965,4.51692533493042,4.951544284820557,6.038442134857178,5.3063130378723145,5.151788711547852,4.477133750915527,4.364762306213379,4.587141036987305,4.949210643768311,4.84302282333374,4.820815086364746,4.7789082527160645
Ne,7.520007610321045,9.742964744567873,4.382230281829834,5.407388210296631,5.336613655090332,6.477858543395996,7.594737529754639,8.675430297851562,10.071710586547852,8.203593254089355,3.5529234409332275,4.803963661193848,4.967355251312256,4.850779533386231,6.007287502288818,6.539144992828369,7.273796558380127,7.762631893157959,4.606019020080566,6.704726696014404,3.58005166053772,3.762493133544922,4.065827369689941,4.232606887817383,4.559420108795166,4.823715686798096,5.149956226348877,5.464983940124512,5.455598831176758,5.908876419067383,6.179225444793701,5.155577182769775,5.99168062210083,6.195215702056885,6.6446709632873535,6.658778667449951,6.830422878265381,5.731800079345703,5.345346927642822,3.4977402687072754,3.8329501152038574,3.989613056182861,4.187859058380127,4.440415382385254,4.743540287017822,4.207513809204102,5.187258720397949,5.461288928985596,5.898598670959473,6.236572742462158,5.389929294586182,5.600276947021484,6.022281646728516,5.863922595977783,5.308437347412109,6.615174293518066,4.306793212890625,4.765039920806885,4.178735733032227,4.035098552703857,3.901162385940552,3.762365102767944,3.621315479278565,4.43634557723999,3.445818901062012,3.422920227050781,3.3940634727478027,3.360115528106689,3.3107705116271973,3.2708184719085693,3.6256003379821777,3.656219005584717,3.5634679794311523,3.075162887573242,3.147865533828736,3.214003086090088,3.3589067459106445,3.705089092254639,3.803425312042236,3.548057079315185,4.264405727386475,4.24875020980835,4.430276393890381,4.603682994842529,4.677806377410889,4.453001022338867,4.994900226593018,5.941798686981201,3.624364137649536,3.960115909576416,5.5073113441467285,4.837602615356445,4.684168338775635,3.513073682785034,3.326465606689453,4.13369607925415,3.778995513916016,3.682196617126465,3.6372456550598153,3.5921781063079834
