,H,He,Li,Be,B,C,N,O,F,Ne,Na,Mg,Al,Si,P,S,Cl,Ar,K,Ca,Sc,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,Ge,As,Se,Br,Kr,Rb,Sr,Y,Zr,Nb,Mo,Tc,Ru,Rh,Pd,Ag,Cd,In,Sn,Sb,Te,I,Xe,Cs,Ba,La,Ce,Pr,Nd,Pm,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,W,Re,Os,Ir,Pt,Au,Hg,Tl,Pb,Bi,Po,At,Rn,Fr,Ra,Ac,Th,Pa,U,Np,Pu,Am,Cm,Bk,Cf,Es,Fm
H,6.44882869720459,7.909523487091064,4.194443225860596,4.964423656463623,4.802666187286377,5.700854778289795,6.520965576171875,7.204749584197998,7.975541591644287,6.9574480056762695,3.50248122215271,4.511784076690674,4.582494735717773,4.422072887420654,5.327075481414795,5.715621471405029,6.225511074066162,6.443125247955322,4.525834560394287,5.783126354217529,3.5031208992004395,3.615853786468506,3.803907632827759,3.877272129058838,4.1133880615234375,4.292058944702148,4.537739276885986,4.773416996002197,4.783880233764648,5.054861545562744,5.4158148765563965,4.501211643218994,5.154710292816162,5.292003154754639,5.660298824310303,5.570001125335693,5.700551509857178,5.170170307159424,4.7404985427856445,3.417628288269043,3.620065212249756,3.7185778617858887,3.857012987136841,4.014208793640137,4.214191913604736,3.876492977142334,4.539528846740723,4.668064594268799,5.176981925964356,5.345840930938721,4.633119106292725,4.770277500152588,5.111497402191162,4.919602394104004,4.6437296867370605,5.6984381675720215,4.086358547210693,4.272317409515381,4.1046462059021,3.9905831813812256,3.841068983078003,3.7027783393859854,3.5748770236968994,4.011685371398926,3.3926708698272705,3.348513126373291,3.302022695541382,3.2541937828063965,3.20373797416687,3.1434247493743896,3.339154005050659,3.3557591438293457,3.287045955657959,2.913317441940308,2.9680097103118896,3.01669716835022,3.11627197265625,3.370208740234375,3.414398670196533,3.191090106964112,3.700663566589356,3.746422290802002,3.7732958793640137,3.9336891174316406,3.967243194580078,3.80340313911438,4.440586566925049,5.334699630737305,3.693747997283936,3.876107215881348,4.824726581573486,4.338871955871582,4.232448101043701,3.533062219619751,3.3817570209503174,3.83787202835083,3.714701652526856,3.5955605506896973,3.5326380729675293,3.4619202613830566
He,7.909523487091064,9.09837532043457,5.703776836395264,6.508814334869385,6.126005172729492,6.895834445953369,7.660561084747314,8.308401107788086,9.073543548583984,8.100442886352539,5.167904853820801,5.989906311035156,5.973289012908936,5.795522212982178,6.4998273849487305,6.814930438995361,7.271216869354248,7.440655708312988,6.061064720153809,7.202455043792725,5.035363674163818,5.097456455230713,5.218311786651611,5.356020450592041,5.433284759521484,5.582133769989014,5.77450704574585,5.966606616973877,6.088654041290283,6.214282035827637,6.57990312576294,5.7854323387146,6.315557956695557,6.362914562225342,6.667959213256836,6.5428786277771,7.056466579437256,6.612107753753662,6.063210964202881,4.985634803771973,5.182766914367676,5.239508628845215,5.266668796539307,5.454502105712891,5.6075119972229,5.380905151367188,5.872518062591553,5.933829784393311,6.329679489135742,6.466297149658203,5.860473155975342,5.935587406158447,6.181063652038574,6.047107696533203,6.068196773529053,7.234053134918213,5.516346454620361,5.722174167633057,5.802652359008789,5.701329708099365,5.561975002288818,5.398752689361572,5.234091281890869,5.312757015228272,4.992771148681641,4.901835918426514,4.824758052825928,4.746131420135498,4.653635025024414,4.565431594848633,4.574619293212891,4.596107482910156,4.516043186187744,4.147944450378418,4.207135677337647,4.275966644287109,4.377519607543945,4.678761959075928,4.739912509918213,4.504829406738281,4.884934425354004,4.894633293151856,4.947468280792236,5.06256914138794,5.059503078460693,4.905859470367432,5.857819080352783,6.848865032196045,5.174296855926514,5.3486833572387695,6.056333065032959,5.6831488609313965,5.56671953201294,5.2369537353515625,5.068404674530029,5.152904987335205,5.267723560333252,5.138279438018799,5.061007976531982,4.981253147125244
Li,4.1944427490234375,5.703777313232422,2.009817123413086,2.32107925415039,2.815249443054199,3.0865652561187744,3.8132338523864746,4.5352864265441895,5.383734226226807,4.473402976989746,2.368908166885376,2.0484018325805664,2.515705108642578,2.7741947174072266,2.864763021469116,3.164224624633789,3.5590574741363525,3.9019875526428223,2.860349178314209,4.118365287780762,2.45755386352539,2.445126533508301,2.477591037750244,2.507214069366455,2.5599138736724854,2.618904590606689,2.67891263961792,2.758230447769165,2.7916650772094727,2.9768474102020264,2.948646545410156,2.836606979370117,2.936361074447632,3.056138515472412,3.18548846244812,3.324197292327881,3.9346554279327393,3.493926525115967,2.9669485092163086,2.460862636566162,2.510084390640259,2.531927585601806,2.546595335006714,2.5912318229675293,2.642195224761963,2.29914665222168,2.7812390327453613,2.883841753005981,2.825951099395752,3.143153429031372,2.893675804138184,2.9683523178100586,3.064537763595581,3.127403974533081,2.655245065689087,4.121135234832764,2.581393241882324,3.38185977935791,2.841226577758789,2.71100115776062,2.5497732162475586,2.388579845428467,2.2545504570007324,2.930885076522827,2.113572597503662,2.063385009765625,2.012544631958008,1.953572034835816,1.8895565271377563,1.83015525341034,2.25715970993042,2.257687568664551,2.272010803222656,1.90073823928833,1.898054480552673,1.90718412399292,1.9483219385147093,2.1095402240753174,2.12429141998291,1.9692949056625368,2.299051523208618,2.3132238388061523,2.471862554550171,2.498818635940552,2.5431861877441406,2.525430679321289,2.435766696929932,3.635932445526123,2.278881072998047,2.357307910919189,3.4827775955200195,3.36690092086792,3.2379684448242188,2.314124345779419,2.167060375213623,2.7757935523986816,2.3132894039154053,2.216064453125,2.1658287048339844,2.1104061603546143
Be,4.964423179626465,6.508815288543701,2.3210787773132324,3.151911973953247,3.02333402633667,3.7755203247070312,4.693700790405273,5.474043369293213,6.322547435760498,5.314297676086426,2.430440187454224,2.603023290634156,2.7300820350646973,2.934586524963379,3.4062652587890625,3.81176233291626,4.317429065704346,4.540112018585205,3.3386659622192383,4.509992599487305,2.5680065155029297,2.575244426727295,2.6114890575408936,2.667388439178467,2.7271535396575928,2.81223201751709,2.903779983520508,3.043285846710205,3.057265520095825,3.31077527999878,3.544347286224365,3.0789687633514404,3.3208839893341064,3.444953441619873,3.728428602218628,3.723086357116699,4.521818161010742,3.987490177154541,3.3678107261657715,2.607477188110352,2.673670768737793,2.710758686065674,2.7321696281433105,2.786007881164551,2.8449881076812744,2.437243700027466,3.0362281799316406,3.1968886852264404,3.3517746925354004,3.5486650466918945,3.1320271492004395,3.201791524887085,3.36475157737732,3.378295421600342,3.313814401626587,4.634584903717041,2.957325220108032,3.558050632476806,3.15190863609314,3.026085376739502,2.852580547332764,2.6733694076538086,2.5123627185821533,3.2027926445007324,2.321995735168457,2.2551040649414062,2.1975619792938232,2.1345672607421875,2.0805087089538574,2.037427425384521,2.4565680027008057,2.4562549591064453,2.5327723026275635,2.094022989273072,2.094862461090088,2.1123416423797607,2.136120319366455,2.3143503665924072,2.3432273864746094,2.228381633758545,2.522329568862915,2.578430652618408,2.69757080078125,2.7559502124786377,2.7954800128936768,2.7707300186157227,3.073017120361328,4.220777988433838,2.656190633773804,2.7479848861694336,3.636033296585083,3.55113172531128,3.4374029636383057,2.5891122817993164,2.416637420654297,3.098874092102051,2.5886149406433105,2.5074303150177,2.45122504234314,2.398345708847046
B,4.802666187286377,6.12600564956665,2.815249443054199,3.023334264755249,3.328028678894043,3.6277084350585938,4.239223957061768,4.897582054138184,5.727421760559082,4.905328750610352,2.73560118675232,2.859395980834961,3.112457752227783,3.1535861492156982,3.378754138946533,3.638372659683228,3.978696346282959,4.332038402557373,3.178066730499268,4.5341877937316895,2.890642642974853,2.885530948638916,2.919273376464844,2.982953786849976,2.999954462051392,3.058480024337769,3.1241133213043213,3.2026658058166504,3.304004669189453,3.383836030960083,3.216742515563965,3.111020803451538,3.2815582752227783,3.355450391769409,3.4890761375427246,3.617027521133423,4.173961162567139,3.860443592071533,3.2793188095092773,2.82400894165039,2.90978741645813,2.914482593536377,2.918062925338745,2.989539623260498,3.0614476203918457,2.7470712661743164,3.1735191345214844,3.1922426223754883,3.1167454719543457,3.3644604682922363,3.174732208251953,3.2260525226593018,3.3536808490753174,3.341364622116089,3.015579462051392,4.428857803344727,2.83054256439209,3.683754205703736,3.158355712890625,3.018635034561157,2.846029043197632,2.687339782714844,2.549402475357056,3.123300790786743,2.37028169631958,2.3081867694854736,2.251589775085449,2.1912903785705566,2.135619163513184,2.0856857299804688,2.503227710723877,2.4866151809692383,2.5267486572265625,2.176041603088379,2.1701011657714844,2.165116548538208,2.193148136138916,2.366276741027832,2.3747806549072266,2.1771135330200195,2.561108589172364,2.55887222290039,2.7047934532165527,2.7623207569122314,2.790473222732544,2.7175369262695312,2.812265157699585,3.919880390167236,2.509434461593628,2.593189239501953,3.879263877868652,3.6158816814422607,3.4724197387695312,2.573616743087769,2.406522512435913,2.967752695083618,2.550142765045166,2.42631459236145,2.3550353050231934,2.295579433441162
C,5.700853824615479,6.895833492279053,3.086565494537353,3.775521039962769,3.627708196640015,4.1768903732299805,5.011660099029541,5.743729114532471,6.585282325744629,5.582865238189697,3.0528149604797363,3.283231019973755,3.359389305114746,3.456216812133789,3.834808111190796,4.1529083251953125,4.601146221160889,4.874722957611084,3.827289581298828,5.071766376495361,3.093602180480957,3.092002391815185,3.128720283508301,3.2084765434265137,3.189797878265381,3.250284194946289,3.3135132789611816,3.4164671897888184,3.5553407669067383,3.654995918273926,3.773061513900757,3.389623641967773,3.580327272415161,3.646981716156006,3.888930559158325,3.980425119400024,4.847934246063232,4.459417343139648,3.739118814468384,3.071932792663574,3.174500703811645,3.1881792545318604,3.163713455200196,3.236536741256714,3.2961792945861816,3.0179030895233154,3.460979461669922,3.547838926315308,3.588801145553589,3.883920907974243,3.42441201210022,3.467125415802002,3.5882301330566406,3.6472249031066895,3.663274765014648,5.10164213180542,3.294806718826294,3.9790403842926025,3.5502800941467285,3.409538745880127,3.2435781955718994,3.066640138626098,2.9081625938415527,3.500471830368042,2.732043743133545,2.666017532348633,2.5993125438690186,2.5360944271087646,2.4734814167022705,2.421470642089844,2.791955709457397,2.786234140396118,2.84081506729126,2.4197323322296143,2.4138824939727783,2.418199062347412,2.444566249847412,2.63620400428772,2.653743028640747,2.5022459030151367,2.776817798614502,2.8309550285339355,2.9610278606414795,3.0155303478240967,3.0744500160217285,3.0341358184814453,3.429427146911621,4.641174793243408,2.9791979789733887,3.1000239849090576,4.110519409179688,3.949816226959229,3.815285205841065,2.962610960006714,2.7939207553863525,3.3261842727661133,2.9504427909851074,2.8459010124206543,2.788064956665039,2.7242918014526367
N,6.520966053009033,7.660561561584473,3.8132340908050537,4.69370174407959,4.239223957061768,5.011659145355225,5.910449028015137,6.628929615020752,7.434752941131592,6.383440017700195,3.463007688522339,4.087728977203369,4.030847072601318,3.9295620918273926,4.590942859649658,4.933610439300537,5.431031227111816,5.632133960723877,4.519172668457031,5.723387241363525,3.3649535179138184,3.355654239654541,3.4079301357269287,3.5212292671203613,3.5362048149108887,3.64439868927002,3.793270587921143,3.961023330688477,4.080523490905762,4.233291149139404,4.545045375823975,3.801530361175537,4.218171119689941,4.283700466156006,4.580314159393311,4.553404331207275,5.516643047332764,5.107065677642822,4.305302143096924,3.347010374069214,3.4628477096557617,3.473646402359009,3.4493672847747803,3.58199143409729,3.682164192199707,3.427427291870117,3.906760215759277,4.020458698272705,4.300243377685547,4.582021236419678,3.853395462036133,3.9197187423706055,4.133120059967041,4.1282267570495605,4.374706745147705,5.770137310028076,3.746733903884888,4.359491348266602,4.064634323120117,3.9078011512756334,3.7181591987609854,3.531806945800781,3.3704912662506104,3.840836524963379,3.1816930770874023,3.12434196472168,3.059498071670532,2.9935615062713623,2.9265682697296143,2.879206895828247,3.1251254081726074,3.1184589862823486,3.1092824935913086,2.69275975227356,2.6824324131011963,2.694469451904297,2.738060474395752,2.927699089050293,2.96444034576416,2.8486082553863525,3.095078945159912,3.185765266418457,3.254387617111206,3.30273962020874,3.34812068939209,3.347327709197998,4.1455583572387695,5.340191841125488,3.433863639831543,3.590175151824951,4.477677345275879,4.30804967880249,4.164783000946045,3.3901071548461914,3.2199745178222656,3.716698169708252,3.4249961376190186,3.310287475585937,3.2482845783233643,3.1951775550842285
O,7.20474910736084,8.308401107788086,4.5352864265441895,5.474043369293213,4.897582530975342,5.743729114532471,6.628930568695068,7.295132160186768,8.084381103515625,7.031505107879639,3.999159336090088,4.834334373474121,4.73263692855835,4.551907062530518,5.296641826629639,5.637497425079346,6.1315693855285645,6.30622148513794,5.220167636871338,6.398886203765869,3.776896715164185,3.791171789169312,3.8762729167938232,4.006007194519043,4.049942493438721,4.17008113861084,4.347152233123779,4.536247730255127,4.65824556350708,4.821909427642822,5.258789539337158,4.323914051055908,4.810615539550781,4.878878593444824,5.203051567077637,5.160956382751465,6.154336929321289,5.783124923706055,4.948820114135742,3.728379964828491,3.886035442352295,3.912501811981201,3.9129343032836914,4.061193466186523,4.182733535766602,3.9980876445770255,4.460825443267822,4.599727153778076,4.9999308586120605,5.275905609130859,4.3921613693237305,4.471122741699219,4.700990676879883,4.671142101287842,5.043598175048828,6.4539995193481445,4.315168857574463,4.826480865478516,4.650001049041748,4.518582820892334,4.354104518890381,4.190682888031006,4.034560203552246,4.240871906280518,3.834613561630249,3.767789840698242,3.702840566635132,3.630614042282105,3.55598783493042,3.500427961349488,3.524369955062866,3.5062382221221924,3.3624017238616943,3.006545066833496,3.015378713607788,3.036575555801392,3.0875301361083984,3.292321920394897,3.3354103565216064,3.218306303024292,3.535005807876587,3.637317657470703,3.5725302696228027,3.652999877929688,3.689879894256592,3.68839955329895,4.812716007232666,6.031836986541748,3.985738754272461,4.22035551071167,4.950756549835205,4.71887731552124,4.57451868057251,3.9934098720550537,3.83069372177124,4.1043219566345215,4.083247661590576,3.947734832763672,3.879162311553955,3.820109844207764
F,7.9755425453186035,9.073543548583984,5.383734226226807,6.322548389434815,5.727421283721924,6.585282325744629,7.434752941131592,8.084380149841309,8.841697692871094,7.819982051849365,4.686611652374268,5.690914630889893,5.582222938537598,5.350488185882568,6.142606735229492,6.467191219329834,6.938429355621338,7.100439548492432,5.976701259613037,7.151193618774414,4.355668544769287,4.387984752655029,4.482338905334473,4.608178615570068,4.690063953399658,4.839234828948975,5.056886196136475,5.288022041320801,5.3779778480529785,5.599447250366211,6.105602264404297,4.980963230133057,5.593639850616455,5.66775369644165,6.01609468460083,5.96306848526001,6.886281490325928,6.5111403465271,5.716224193572998,4.286243915557861,4.456176280975342,4.48933744430542,4.523068904876709,4.691041946411133,4.856741428375244,4.751028060913086,5.181256771087647,5.327212810516357,5.841055870056152,6.073424816131592,5.058674812316895,5.156919956207275,5.441461086273193,5.361772060394287,5.7695183753967285,7.205183982849121,5.0380377769470215,5.346228122711182,5.419530868530273,5.296464443206787,5.149357318878174,5.008229732513428,4.869700908660889,4.752223968505859,4.667904376983643,4.588296413421631,4.506445407867432,4.427261352539063,4.348681449890137,4.288517475128174,4.078430652618408,4.063316822052002,3.702713012695313,3.3566246032714844,3.3898959159851074,3.4474668502807617,3.5488595962524414,3.7953035831451416,3.856308937072754,3.734519004821777,4.11651611328125,4.203141689300537,4.067524433135986,4.193666458129883,4.233065605163574,4.170159339904785,5.543769836425781,6.800888538360596,4.722299098968506,4.974513530731201,5.515682697296143,5.187619686126709,5.034051418304443,4.786064624786377,4.630727291107178,4.563103675842285,4.863147258758545,4.728599548339844,4.658960342407227,4.594215393066406
Ne,6.9574480056762695,8.100442886352539,4.473402500152588,5.314298152923584,4.905328750610352,5.582865715026856,6.383439540863037,7.031505107879639,7.819982051849365,6.872682094573975,4.131482601165772,4.7377471923828125,4.706943035125732,4.604451656341553,5.186524868011475,5.476909160614014,5.905707359313965,6.072741985321045,4.913795471191406,6.100224018096924,4.046870708465576,4.042406558990479,4.1012725830078125,4.187367916107178,4.243254661560059,4.342209339141846,4.476644039154053,4.628695011138916,4.748791694641113,4.875425815582275,5.125497341156006,4.523543834686279,4.881901264190674,4.939314365386963,5.222170352935791,5.21049165725708,5.912250518798828,5.492857456207275,4.932740688323975,4.044243335723877,4.145562171936035,4.171668529510498,4.165593147277832,4.2792582511901855,4.3776535987854,4.111316204071045,4.602757453918457,4.68351411819458,4.923657417297363,5.086429119110107,4.56260871887207,4.619104385375977,4.807127475738525,4.778838157653809,4.943172454833984,6.1672234535217285,4.434635639190674,4.928486347198486,4.726088047027588,4.594577312469482,4.43156099319458,4.235428333282471,4.042053699493408,4.45527458190918,3.792603492736816,3.705713987350464,3.614231586456299,3.52627944946289,3.44038724899292,3.372673749923706,3.636096239089966,3.644148826599121,3.734963417053223,3.3527612686157227,3.348898410797119,3.359508514404297,3.3975532054901123,3.6262965202331534,3.663997650146485,3.4834628105163574,3.781611442565918,3.7846758365631104,3.951349496841431,4.011722564697266,4.043905735015869,4.004480361938477,4.73008394241333,5.728831768035889,4.105382442474365,4.231747150421143,5.08543586730957,4.881412029266357,4.761351585388184,4.102388858795166,3.9076199531555176,4.311717033386231,4.055944919586182,3.928179264068604,3.852858781814575,3.777943134307861
