,H,He,Li,Be,B,C,N,O,F,Ne,Na,Mg,Al,Si,P,S,Cl,Ar,K,Ca,Sc,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,Ge,As,Se,Br,Kr,Rb,Sr,Y,Zr,Nb,Mo,Tc,Ru,Rh,Pd,Ag,Cd,In,Sn,Sb,Te,I,Xe,Cs,Ba,La,Ce,Pr,Nd,Pm,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,W,Re,Os,Ir,Pt,Au,Hg,Tl,Pb,Bi,Po,At,Rn,Fr,Ra,Ac,Th,Pa,U,Np,Pu,Am,Cm,Bk,Cf,Es,Fm
H,5.768608570098877,6.754146099090576,3.533192873001098,3.515308856964112,4.596202373504639,3.975753784179688,4.54764461517334,5.516671657562256,6.990989685058594,5.175577640533447,5.021389007568359,3.3436760902404785,3.998603582382202,5.316134929656982,4.130401134490967,4.38707160949707,4.605695724487305,5.519228458404541,3.774465560913086,5.851691722869873,4.803756237030029,4.747921943664551,4.70932149887085,4.719706058502197,4.796354293823242,4.860532283782959,4.810591697692871,4.80083703994751,4.803313732147217,5.2120466232299805,5.032290458679199,5.650532245635986,4.820266246795654,5.174216270446777,5.217670917510986,5.911554336547852,4.151245594024658,5.083916187286377,5.360081195831299,4.932050704956055,5.001871585845947,5.044808864593506,5.083209037780762,5.088292121887207,5.097367286682129,4.897964477539063,5.34651517868042,5.560359954833984,5.145077705383301,6.038259029388428,5.544240951538086,5.5886993408203125,5.419592380523682,5.89500093460083,3.206429243087769,5.087559223175049,4.608057498931885,5.271190643310547,4.737117290496826,4.64383602142334,4.529499530792236,4.457067489624023,4.367182731628418,4.866489887237549,4.251797199249268,4.237321376800537,4.1985039710998535,4.155465602874756,4.122652053833008,4.083584785461426,4.447620868682861,4.5217814445495605,4.483290672302246,4.255820274353027,4.3255391120910645,4.406424045562744,4.504340648651123,4.812798500061035,4.93974494934082,4.757863998413086,5.066828727722168,5.188183307647705,5.368822574615479,5.259800434112549,5.386229991912842,5.397242069244385,3.176390647888184,4.18410587310791,4.17425537109375,4.297799110412598,5.668067455291748,5.2921881675720215,5.1725382804870605,4.162818908691406,4.02377462387085,4.516714572906494,4.241652965545654,4.171833038330078,4.142745018005371,4.111866474151611
He,6.754146575927734,7.206570625305176,6.398139953613281,5.440584659576416,6.938560485839844,6.441871643066406,6.130489826202393,6.441471576690674,6.992722988128662,6.674826622009277,5.4152350425720215,6.142069339752197,6.719112873077393,6.192031383514404,6.676368236541748,6.774596214294434,6.762444972991943,7.122735977172852,4.171448230743408,5.817923545837402,5.528867244720459,5.735980987548828,5.974061965942383,6.173837661743164,6.161374568939209,6.270226001739502,6.47058629989624,6.625100135803223,6.881669521331787,6.714428901672363,6.73346471786499,6.382688999176025,7.048945903778076,7.050893306732178,7.109775066375732,6.813726902008057,4.129189968109131,5.140324115753174,5.273671627044678,5.287540912628174,5.57142972946167,5.634974002838135,5.628599166870117,5.909780025482178,6.127135753631592,6.072400569915772,6.27190637588501,5.959323406219482,6.657492637634277,5.84616756439209,6.6512131690979,6.634965419769287,6.905959606170654,6.222810745239258,3.768568515777588,4.634331226348877,4.88006067276001,5.554679393768311,5.097944259643555,5.0362725257873535,4.951843738555908,4.8810014724731445,4.811059951782227,5.132589817047119,4.724823474884033,4.713988780975342,4.687943935394287,4.667182922363281,4.649529933929443,4.622782707214356,4.605721473693848,4.682116508483887,4.956923961639404,4.830155372619629,4.916095733642578,4.969618797302246,5.133267402648926,5.476090431213379,5.575343608856201,5.301987171173096,6.123958110809326,5.862782001495361,6.0835700035095215,6.3855156898498535,6.277294635772705,5.731916904449463,3.831106662750244,4.191190719604492,4.542014598846436,4.662193775177002,6.244115829467773,5.560213565826416,5.454692363739014,4.758762359619141,4.663217544555664,4.974605083465576,4.7972588539123535,4.71934700012207,4.686622619628906,4.66230583190918
Li,3.533193588256836,6.398138046264648,3.234659671783448,4.14128303527832,3.3675546646118164,4.519102573394775,5.514466762542725,6.10020112991333,6.7761712074279785,5.725796222686768,2.8443424701690674,3.499875783920288,3.4548842906951904,2.8491902351379395,3.916558980941773,4.210056781768799,4.657454013824463,4.686392784118652,2.67271089553833,3.3888752460479736,2.7387192249298096,2.7492563724517822,2.821356296539306,2.8446433544158936,2.9398348331451416,3.0366501808166504,3.195529699325561,3.34437894821167,3.2908477783203125,3.4489989280700684,4.110610485076904,3.265021800994873,3.7842860221862793,3.893183469772339,4.2199249267578125,4.221032619476318,3.110469102859497,3.210824012756348,3.24467396736145,2.7812814712524414,2.7893755435943604,2.814312219619751,2.8441319465637207,2.891479015350342,2.955702781677246,2.794410228729248,3.1112518310546875,3.225846767425537,3.919915676116944,3.99779224395752,3.3293824195861816,3.446289539337158,3.728965759277344,3.646953821182251,2.6706414222717285,3.2476229667663574,2.8995516300201416,3.8768954277038574,3.2329137325286865,3.139539957046509,3.022731304168701,2.9110300540924072,2.8084561824798584,3.5530545711517334,2.6577353477478027,2.6101596355438232,2.56251859664917,2.519209384918213,2.4730613231658936,2.4323489665985107,3.0673210620880127,3.068789005279541,2.55094575881958,2.3058247566223145,2.3350093364715576,2.383613109588623,2.4611241817474365,2.595485210418701,2.674614191055298,2.6773390769958496,3.344871759414673,3.600371599197388,3.045753002166748,3.311566114425659,3.3514037132263184,3.227134227752685,2.702558755874634,2.9831535816192627,2.765528440475464,2.798208236694336,4.463659763336182,3.922833204269409,3.791793346405029,2.89412522315979,2.7950363159179688,3.37575626373291,2.9198875427246094,2.858805179595948,2.811307907104492,2.765551805496216
Be,3.515308856964112,5.440585613250732,4.141283512115479,3.682599306106568,4.672953128814697,5.132158279418945,5.017628192901611,5.47904634475708,6.123349666595459,5.222811222076416,2.905813694000244,4.116734981536865,4.629752159118652,3.822901964187622,5.014219760894775,5.307477474212647,5.613029956817627,5.738693714141846,3.025743007659912,4.321375846862793,3.38348126411438,3.475682258605957,3.648690938949585,3.684300422668457,3.7899208068847656,3.871775150299072,4.063683032989502,4.231576442718506,4.234377384185791,4.2671380043029785,5.091423511505127,3.8795013427734375,4.894545078277588,4.9334001541137695,5.28964376449585,4.912765026092529,3.400157928466797,3.4863080978393555,4.064920902252197,3.1909255981445312,3.386314392089844,3.436198234558105,3.482105016708374,3.601639747619629,3.7187883853912354,3.4623403549194336,3.8174386024475098,3.854888916015625,4.765652179718018,4.684505939483643,4.059201240539551,4.141876697540283,4.608985424041748,4.2632317543029785,2.6294639110565186,3.4820852279663086,3.33475661277771,4.170614242553711,3.3712615966796875,3.2815074920654297,3.183613538742065,3.1209933757781982,3.0448899269104004,3.889040231704712,2.9379806518554688,2.916212797164917,2.8953697681427,2.8826680183410645,2.86640739440918,2.8508591651916504,3.408017158508301,3.4256134033203125,2.901949882507324,2.6803011894226074,2.7096238136291504,2.743198871612549,2.842314004898072,3.074605941772461,3.1356019973754883,3.0079355239868164,3.965468168258667,3.854302406311035,3.636874675750733,4.083578586578369,3.989054918289185,3.703538417816162,2.572956323623657,3.286584854125977,2.8871865272521973,3.029292583465576,4.842614650726318,4.2606072425842285,4.120555400848389,2.9838433265686035,2.9046454429626465,3.64557671546936,3.2133688926696777,3.1209981441497803,3.0680482387542725,3.016968011856079
B,4.596202373504639,6.938559532165527,3.3675546646118164,4.672953128814697,3.3067750930786133,4.2854437828063965,5.411636352539063,6.01265287399292,6.740370273590088,5.771800518035889,2.9881362915039062,3.7333664894104,3.409383773803711,3.04628849029541,3.8288345336914062,4.099921703338623,4.541215419769287,4.540207862854004,2.532877445220948,3.3042919635772705,3.074209451675415,3.074665069580078,3.103840112686157,3.1286067962646484,3.1982452869415283,3.281679630279541,3.371446132659912,3.4764082431793213,3.4994685649871826,3.6142520904541016,4.083631992340088,3.4321277141571045,3.8409500122070312,3.922641754150391,4.178153038024902,4.177104949951172,3.142300844192505,3.1144847869873047,3.235409736633301,3.01671838760376,3.0951781272888184,3.102870464324951,3.1072769165039062,3.159932851791382,3.228966236114502,3.023594856262207,3.331272840499878,3.312685489654541,3.950079917907715,3.759922981262207,3.5395407676696777,3.612192153930664,3.8241798877716064,3.596315860748291,3.026369571685791,3.150122165679932,2.974217414855957,3.801873207092285,3.2020182609558105,3.121312141418457,3.0227503776550293,2.9452497959136963,2.865684986114502,3.451165676116944,2.7387828826904297,2.6900060176849365,2.639198303222656,2.6028547286987305,2.5726752281188965,2.545573711395264,3.0866379737854004,3.1035847663879395,2.848133087158203,2.6442525386810303,2.6715126037597656,2.7002031803131104,2.766239643096924,2.9035212993621826,2.947702169418335,2.8469667434692383,3.504523515701294,3.688933372497559,3.291938543319702,3.4121551513671875,3.458869457244873,3.366985321044922,3.09114408493042,2.8577752113342285,2.66345739364624,2.7344746589660645,4.335190773010254,3.824784994125366,3.6933670043945312,2.85359787940979,2.750361680984497,3.2886343002319336,2.922208070755005,2.856992483139038,2.8113484382629395,2.7696573734283447
C,3.975753784179688,6.4418721199035645,4.519102573394775,5.132157802581787,4.285444736480713,5.563141345977783,6.075580596923828,6.457123279571533,6.940887451171875,6.242193698883057,3.153855323791504,4.940111637115479,4.544169902801514,3.640993356704712,4.86171817779541,4.999054431915283,5.47460412979126,5.147494316101074,2.8564653396606445,3.856959819793701,3.470454454421997,3.572947263717652,3.692838430404663,3.782773494720459,3.824539661407471,3.901544094085693,4.039469242095947,4.15703821182251,4.278103828430176,4.229027271270752,4.539491653442383,4.019033908843994,4.653603076934815,4.516684055328369,4.813266754150391,4.630609035491943,3.277278423309326,3.2978997230529785,3.6707839965820312,3.3692076206207275,3.499817371368408,3.5457801818847656,3.5867180824279785,3.72478461265564,3.844047546386719,3.612790584564209,3.958351373672485,3.960463047027588,4.325132846832275,4.43178129196167,4.09669828414917,4.147609233856201,4.34627103805542,4.191633701324463,2.7403488159179688,3.369372129440308,3.1580913066864014,4.1421427726745605,3.452305793762207,3.3674192428588867,3.263225793838501,3.183964729309082,3.10726261138916,3.738492250442505,3.000840902328491,2.985456705093384,2.959620952606201,2.941047191619873,2.935857057571411,2.9184134006500244,3.430229425430298,3.4753825664520264,3.189005374908448,2.9827022552490234,3.0252394676208496,3.079967737197876,3.167137622833252,3.389159679412842,3.4526000022888184,3.358449935913086,3.8037376403808594,3.968355178833008,3.766387462615967,3.9077558517456055,3.9181296825408936,3.842995405197144,2.75502610206604,3.0924479961395264,2.912810802459717,2.9363656044006348,4.809720039367676,4.12215518951416,4.015141487121582,3.116405725479126,3.029224157333374,3.6054651737213135,3.167128086090088,3.1070096492767334,3.06373143196106,3.0168027877807617
N,4.547645092010498,6.130488395690918,5.514465808868408,5.0176286697387695,5.411637306213379,6.075581073760986,6.008277893066406,6.118258953094482,6.590000629425049,6.0222039222717285,3.8838586807250977,5.608047008514404,5.6870293617248535,4.523754596710205,5.838504314422607,5.907395362854004,6.132400989532471,5.854979038238525,3.1067094802856445,4.588233947753906,4.071307182312012,4.15701961517334,4.313778877258301,4.466513156890869,4.503297328948975,4.62409257888794,4.852651119232178,5.062113285064697,5.288910388946533,5.038737773895264,5.430663585662842,4.674908638000488,5.763164043426514,5.53172492980957,5.780914783477783,5.16190242767334,3.4034340381622314,3.7515950202941895,4.172152042388916,3.999747276306152,4.182093620300293,4.2450127601623535,4.249457836151123,4.454288005828857,4.592013835906982,4.508809566497803,4.709958076477051,4.594707489013672,5.13851261138916,4.854065418243408,4.813624858856201,4.835971355438232,5.165566444396973,4.782820701599121,2.88079833984375,3.614446878433228,3.64168381690979,4.521133899688721,3.8714945316314697,3.796414375305176,3.70430850982666,3.640219449996948,3.566854476928711,4.1429290771484375,3.4871082305908203,3.4743146896362305,3.4644253253936768,3.4606165885925293,3.462242603302002,3.448307991027832,3.7496275901794434,3.807234287261963,3.7136855125427246,3.516084671020508,3.5732762813568115,3.6480212211608887,3.751192092895508,4.009289264678955,4.065475940704346,3.938570976257324,4.514991283416748,4.363556861877441,4.372604370117188,4.686191082000732,4.563598155975342,4.33193826675415,2.8735671043396,3.270614624023437,3.313042640686035,3.4025416374206543,5.149223804473877,4.52317476272583,4.407865047454834,3.5265583992004395,3.440634489059448,3.951108932495117,3.599071264266968,3.5301735401153564,3.4907350540161133,3.4507055282592773
O,5.516672611236572,6.441473484039307,6.100203037261963,5.479047775268555,6.01265287399292,6.45712423324585,6.118259429931641,6.488152027130127,6.742891788482666,6.309820175170898,4.663383960723877,6.1312785148620605,6.248495578765869,5.146669864654541,6.328622341156006,6.366580486297607,6.5015411376953125,6.17730188369751,3.382142782211304,5.015152454376221,4.573774814605713,4.673007488250732,4.835877418518066,5.0666093826293945,5.0579609870910645,5.1987128257751465,5.464149951934815,5.67105770111084,5.919947147369385,5.635670185089111,5.930772304534912,5.307204723358154,6.324813365936279,6.104694843292236,6.32548189163208,5.705886363983154,3.531601667404175,4.165670871734619,4.572033882141113,4.537942886352539,4.759424686431885,4.841759204864502,4.831883907318115,5.0837907791137695,5.236639022827148,5.220386981964111,5.355460643768311,5.231359958648682,5.690624713897705,5.284144878387451,5.447913646697998,5.453113079071045,5.755011558532715,5.352893829345703,3.1308822631835938,3.860527753829956,4.07099199295044,4.790754318237305,4.245215892791748,4.186048030853272,4.117774486541748,4.072238445281982,4.015617847442627,4.438656806945801,3.968361616134644,3.985625505447388,3.9891774654388414,3.9890525341033936,3.994365692138672,3.983720779418945,4.0867600440979,4.135032176971436,4.227105140686035,4.092156887054443,4.176907062530518,4.272298336029053,4.414567470550537,4.652957439422607,4.694430828094482,4.522042751312256,5.087474346160889,4.910432815551758,4.973719596862793,5.269029140472412,5.151002407073975,4.874343395233154,3.1574010848999023,3.5105772018432617,3.759464740753174,3.85257625579834,5.428032398223877,4.79335880279541,4.701302528381348,3.924003124237061,3.840600252151489,4.264657497406006,4.0261430740356445,3.970012903213501,3.94234037399292,3.918717384338379
F,6.990988731384277,6.992722988128662,6.776172161102295,6.123348712921143,6.740372180938721,6.940886974334717,6.589999675750732,6.742892742156982,7.24605131149292,6.854612827301025,5.634130477905273,6.7004923820495605,6.901145458221436,5.9376606941223145,6.93846321105957,6.971590042114258,7.030323028564453,6.802023410797119,3.902250051498413,5.736423969268799,5.252355575561523,5.397915363311768,5.5825629234313965,5.846441268920898,5.834203243255615,5.991055965423584,6.243314743041992,6.425376892089844,6.651556015014648,6.376739025115967,6.606720447540283,6.083008289337158,6.958863258361816,6.802756786346436,6.97722864151001,6.406080722808838,3.825451850891113,4.854611396789551,5.159789085388184,5.262265682220459,5.480270862579346,5.5816168785095215,5.583081245422363,5.86155366897583,6.011041164398193,6.009983539581299,6.111716747283936,6.018248081207275,6.399912357330322,5.919102191925049,6.200008869171143,6.190600395202637,6.477657318115234,6.062667369842529,3.540729522705078,4.363065242767334,4.644785404205322,5.162944316864014,4.840814113616943,4.798659324645996,4.747105598449707,4.734535217285156,4.702792167663574,4.8723578453063965,4.69567346572876,4.741384029388428,4.747677326202393,4.751964092254639,4.763059139251709,4.777472496032715,4.578395366668701,4.653827667236328,4.95308256149292,4.901209354400635,5.024611949920654,5.125640869140625,5.259379863739014,5.486772060394287,5.527442932128906,5.270839214324951,5.804455757141113,5.614741802215576,5.714432239532471,5.935460567474365,5.822930812835693,5.531339168548584,3.57764744758606,3.900037288665772,4.356390476226807,4.446991443634033,5.759312629699707,5.159285068511963,5.070659160614014,4.547084331512451,4.480284690856934,4.698094844818115,4.663290500640869,4.617611408233643,4.611315727233887,4.604190349578857
Ne,5.175576686859131,6.674827098846436,5.725796222686768,5.222811222076416,5.771800994873047,6.242194652557373,6.022204875946045,6.309818744659424,6.854614734649658,6.625603199005127,4.248020648956299,5.779316425323486,5.957141876220703,4.818082809448242,6.101935386657715,6.202187061309815,6.37763261795044,6.213436603546143,3.519540309906006,4.830191135406494,4.478722095489502,4.558345794677734,4.702080249786377,4.841583251953125,4.843033313751221,4.933440685272217,5.153474807739258,5.362764835357666,5.6027913093566895,5.351110935211182,5.791227340698242,5.0902838706970215,6.116605281829834,5.946985721588135,6.192538738250732,5.608375549316406,3.749598979949951,4.117068767547607,4.443910598754883,4.37208890914917,4.568390369415283,4.602121829986572,4.577747821807861,4.7369465827941895,4.848520278930664,4.774016857147217,4.991199970245361,4.914539813995361,5.500725746154785,5.085978031158447,5.251419544219971,5.27191162109375,5.617173671722412,5.213781833648682,3.3250627517700195,3.871848583221436,3.98923397064209,4.839456558227539,4.253824710845947,4.18212890625,4.094756603240967,4.033689975738525,3.968355894088745,4.462498664855957,3.871129751205444,3.8480377197265625,3.822669744491577,3.7981247901916495,3.779963493347168,3.757169723510742,4.066614151000977,4.114593029022217,4.158496856689453,3.965574741363525,4.0059685707092285,4.047272205352783,4.136984825134277,4.411905765533447,4.515430927276611,4.376647472381592,4.981898784637451,4.778220653533936,4.922207832336426,5.238972187042236,5.118514060974121,4.863403797149658,3.334312915802002,3.636293649673462,3.6660451889038086,3.7680492401123047,5.497129440307617,4.827955722808838,4.718072891235352,3.910891056060791,3.81683611869812,4.2743821144104,3.963521003723145,3.877716064453125,3.833185434341431,3.797163963317871
