,H,He,Li,Be,B,C,N,O,F,Ne,Na,Mg,Al,Si,P,S,Cl,Ar,K,Ca,Sc,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,Ge,As,Se,Br,Kr,Rb,Sr,Y,Zr,Nb,Mo,Tc,Ru,Rh,Pd,Ag,Cd,In,Sn,Sb,Te,I,Xe,Cs,Ba,La,Ce,Pr,Nd,Pm,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,W,Re,Os,Ir,Pt,Au,Hg,Tl,Pb,Bi,Po,At,Rn,Fr,Ra,Ac,Th,Pa,U,Np,Pu,Am,Cm,Bk,Cf,Es,Fm
H,6.165241718292236,7.447969913482666,4.069177627563477,4.96039628982544,4.254691123962402,5.003089427947998,5.937338352203369,6.678657054901123,7.644489288330078,6.425460338592529,4.123721599578857,4.3647332191467285,4.2105865478515625,4.255746364593506,4.566304683685303,4.829798221588135,5.329318523406982,5.4180216789245605,4.3951945304870605,5.407346725463867,3.989206790924072,3.958807229995728,3.9657044410705566,4.041728496551514,4.04551887512207,4.104449272155762,4.155365467071533,4.232809066772461,4.347703456878662,4.462202548980713,4.737868785858154,4.562321186065674,4.67868185043335,4.72454309463501,5.026411533355713,5.0148024559021,4.969295501708984,5.168761730194092,4.790987014770508,4.082109928131104,4.118142604827881,4.136842250823975,4.130531311035156,4.1705403327941895,4.201529026031494,4.038187503814697,4.37048864364624,4.542533874511719,4.54033899307251,4.941045761108398,4.552694320678711,4.607876300811768,4.693080425262451,4.8697829246521,3.245932340621948,5.439761161804199,4.557180881500244,4.662328243255615,4.4607110023498535,4.350072383880615,4.227772235870361,4.102880954742432,3.990617275238037,4.340913772583008,3.827728509902954,3.771437644958496,3.7256579399108887,3.67983078956604,3.6256027221679688,3.5908892154693604,3.9496779441833496,3.976133346557617,4.059591293334961,3.825627326965332,3.859775066375733,3.9023962020874015,3.936424732208252,4.180988311767578,4.25406551361084,4.128912925720215,4.407716274261475,4.462678909301758,4.716858386993408,4.763470649719238,4.791729927062988,4.734038829803467,3.049896717071533,4.942442417144775,4.318755626678467,4.378551483154297,4.721988201141357,4.637740612030029,4.546351909637451,4.08209228515625,3.977712154388428,4.202758312225342,4.085211753845215,4.010383129119873,3.9511094093322754,3.896842002868652
He,8.4951810836792,8.402633666992188,6.303017139434815,6.871128559112549,6.3540568351745605,6.646986484527588,7.308046817779541,7.849974155426025,8.61448860168457,7.846360683441162,5.977675914764404,6.39567232131958,6.301596641540527,6.240740776062012,6.407824993133545,6.520878314971924,6.769015789031982,6.921875953674316,5.4850358963012695,6.765048027038574,5.830562591552734,5.8777174949646,5.9524335861206055,6.092204570770264,6.071814060211182,6.145169734954834,6.223223209381104,6.303016185760498,6.484490871429443,6.472908020019531,6.49655294418335,6.369937419891357,6.576860904693604,6.590937614440918,6.729804039001465,6.703367710113525,5.693533420562744,6.079699993133545,5.739811897277832,5.776804924011231,5.961513996124268,6.000085353851318,5.97507381439209,6.127420425415039,6.21490478515625,6.2035017013549805,6.353884696960449,6.284764766693115,6.425730228424072,6.377689838409424,6.439634323120117,6.45604944229126,6.562840461730957,6.437838077545166,4.618159294128418,6.377009868621826,5.373682498931885,5.544332027435303,5.595609188079834,5.517359256744385,5.426724910736084,5.348013877868652,5.273446559906006,5.230393409729004,5.168124675750732,5.140155792236328,5.110499382019043,5.082920551300049,5.080275058746338,5.072604656219482,5.009769916534424,5.075646877288818,5.414447784423828,5.371899604797363,5.430917263031006,5.46755838394165,5.572259426116943,5.827897548675537,5.8694329261779785,5.55922269821167,5.991715908050537,5.877801418304443,6.125337600708008,6.223501205444336,6.174954414367676,5.875121116638184,4.527709484100342,5.847601413726807,5.176168918609619,5.266080379486084,6.006109714508057,5.445443630218506,5.38411808013916,5.2504096031188965,5.156915187835693,5.037997722625732,5.179630756378174,5.094394683837891,5.035226821899414,4.973952770233154
Li,2.8832573890686035,4.281718730926514,2.639587879180908,2.8284926414489746,3.567119836807251,3.889179229736328,3.8378634452819824,4.118988513946533,4.490084648132324,4.035080432891846,2.3415849208831787,3.2448267936706543,3.56335973739624,2.931753635406494,3.81327748298645,3.965145111083984,4.12645959854126,4.193984031677246,1.8870210647583008,3.3785207271575928,2.584709644317627,2.6428062915802,2.7482898235321045,2.777775287628174,2.8353402614593506,2.9013831615448,3.060906887054444,3.1924855709075928,3.194746494293213,3.2117819786071777,3.659634828567505,2.904173851013184,3.633256912231445,3.6202311515808105,3.8542051315307617,3.558920860290528,2.19557785987854,2.711841344833374,3.0440211296081543,2.5209219455718994,2.5805530548095703,2.5889334678649902,2.602800369262696,2.664478302001953,2.740063190460205,2.5871431827545166,2.8219470977783203,2.895418643951416,3.470608711242676,3.3805415630340576,3.013735771179199,3.0685129165649414,3.3726015090942383,3.0934362411499023,1.8720128536224363,2.500211715698242,2.560070514678955,3.108124256134033,2.695407629013061,2.631274938583374,2.5513041019439697,2.4874963760375977,2.418428421020508,2.871760129928589,2.307952404022217,2.270059108734131,2.228191375732422,2.1856765747070312,2.138686418533325,2.0914313793182373,2.3815338611602783,2.38421893119812,2.2966928482055664,2.045686960220337,2.0375289916992188,2.058269023895264,2.090202808380127,2.261981725692749,2.297485113143921,2.236508369445801,2.7600910663604736,2.725030899047852,2.650064468383789,2.900367498397827,2.827545166015625,2.641464710235596,1.8339112997055047,2.0756335258483887,2.2275314331054688,2.3492588996887207,3.522120952606201,3.1692488193511963,3.09729528427124,2.312735319137573,2.2168211936950684,2.6935086250305176,2.365426778793335,2.274540901184082,2.228682041168213,2.185824394226074
Be,4.157046794891357,4.865407466888428,3.0522587299346924,2.330785751342773,3.8225488662719727,3.555502891540528,3.603065490722656,4.098065376281738,4.868178844451904,4.0434770584106445,3.222477436065674,2.914357662200928,3.485271453857422,3.903365135192871,3.606912136077881,3.7996749877929688,3.9415454864501953,4.415138244628906,2.740220069885254,4.286883354187012,3.449739694595337,3.509723424911499,3.574301481246948,3.5864174365997314,3.651633262634277,3.699157476425171,3.7192749977111816,3.734924793243408,3.72258186340332,3.9230897426605225,3.942013740539551,3.858813762664795,3.8175182342529297,3.97558069229126,4.070980548858643,4.272246360778809,2.854219913482666,3.5946316719055176,3.637502193450928,3.28320860862732,3.4425816535949707,3.472287654876709,3.505604982376098,3.59000825881958,3.6604154109954834,3.473752975463867,3.7548251152038574,3.7413291931152335,3.94762921333313,4.028948783874512,3.91556715965271,3.9550352096557617,4.025448322296143,3.982706069946289,2.062213182449341,3.657449722290039,3.156658411026001,3.525810956954956,3.1486220359802246,3.0680806636810303,2.970951557159424,2.8959081172943115,2.803183555603028,3.1866750717163086,2.678952217102051,2.6473090648651123,2.6081933975219727,2.576075792312622,2.572495937347412,2.5631957054138184,2.8748745918273926,2.8979055881500244,2.8196654319763184,2.6495673656463623,2.697451114654541,2.7250683307647705,2.822730779647827,3.020347118377685,3.0546884536743164,2.7705531120300293,3.4180550575256348,3.4669418334960938,3.439866781234741,3.589010715484619,3.590362310409546,3.351693153381348,2.0259525775909424,3.0098137855529785,2.829252958297729,2.945928812026977,4.154737949371338,3.511373519897461,3.391829490661621,2.7472002506256104,2.64253568649292,3.004532814025879,2.855166435241699,2.7716941833496094,2.717724323272705,2.658333539962769
B,3.857099056243897,5.304825782775879,3.730409860610962,4.1075944900512695,2.9300637245178223,4.441108226776123,4.705122470855713,4.962148189544678,5.319993495941162,4.941710948944092,2.726668357849121,4.024552822113037,3.757627248764038,3.146185874938965,4.084498882293701,4.236025810241699,4.531265735626221,4.3857293128967285,2.090429306030273,3.712538719177246,2.904012441635132,2.916339635848999,2.9543347358703613,3.003414392471313,3.017252922058105,3.07640027999878,3.195375204086304,3.3219690322875977,3.382812976837158,3.391855478286743,3.7904326915740967,3.160185575485229,3.7426698207855225,3.697679281234741,3.983474493026733,3.731545448303223,2.4892492294311523,2.916918992996216,3.236321449279785,2.850977897644043,2.927672863006592,2.9282798767089844,2.9086081981658936,2.9746193885803223,3.027149677276612,2.876678705215454,3.12168025970459,3.1811742782592773,3.6096792221069336,3.6068506240844727,3.2069461345672607,3.260572910308838,3.484117031097412,3.338128566741944,2.1838483810424805,2.790567874908448,2.7194507122039795,3.221476078033448,2.899427890777588,2.830139875411988,2.7446722984313965,2.69005823135376,2.625286102294922,3.0032663345336914,2.542374610900879,2.5235278606414795,2.4902820587158203,2.4656081199646,2.450990915298462,2.4258503913879395,2.6663858890533447,2.684537410736084,2.643064498901367,2.445257663726806,2.4375991821289062,2.453110456466675,2.463017463684082,2.60721492767334,2.640279531478882,2.5857954025268555,2.856273651123047,2.916078805923462,2.8649203777313232,2.98447322845459,2.970589160919189,2.936213970184326,2.1295552253723145,2.3242456912994385,2.4125466346740723,2.516535997390747,3.7030844688415527,3.225846767425537,3.157268762588501,2.4951272010803223,2.3897173404693604,2.738205671310425,2.5245249271392822,2.4336068630218506,2.3800528049468994,2.3365046977996826
C,4.905760288238525,5.590242385864258,4.217761993408203,4.036827087402344,4.359346866607666,3.804644823074341,4.685794830322266,5.015504837036133,5.516806125640869,5.082496166229248,3.2358179092407227,4.2100138664245605,4.349979877471924,3.8414037227630615,4.485798358917236,4.621978282928467,4.808105945587158,4.933931827545166,2.720355749130249,4.611238956451416,3.386809825897217,3.4877078533172607,3.623067617416382,3.711627960205078,3.732774257659912,3.810206890106201,3.9644951820373535,4.0885910987854,4.179149150848389,4.144676685333252,4.382992744445801,3.757958889007568,4.3764424324035645,4.403982162475586,4.572365760803223,4.416726112365723,2.903228282928467,3.799408435821533,3.693692684173584,3.178853273391724,3.3580284118652344,3.3884499073028564,3.389458417892456,3.525325059890747,3.6568548679351807,3.562996625900269,3.7440996170043945,3.652575016021729,4.2607526779174805,4.072012424468994,3.917724132537842,3.971302509307861,4.252540588378906,3.8941409587860094,2.344213962554932,3.761941432952881,3.2433409690856934,3.592252731323242,3.326563835144043,3.243673801422119,3.1438803672790527,3.0523452758789062,2.9564859867095947,3.1929712295532227,2.804804801940918,2.75820255279541,2.714793920516968,2.67746639251709,2.6440000534057617,2.6181581020355225,2.87703013420105,2.8879852294921875,2.8018252849578857,2.633774280548096,2.6674416065216064,2.6897530555725098,2.793867588043213,2.9686474800109863,2.992551803588867,2.7742133140563965,3.502453088760376,3.4631707668304443,3.377805709838867,3.627933979034424,3.570819616317749,3.247478008270264,2.296895980834961,3.0312304496765137,2.9385411739349365,3.0531253814697266,4.072254657745361,3.551776170730591,3.436619281768799,2.9429640769958496,2.84717059135437,3.1224656105041504,2.9838387966156006,2.9137754440307617,2.8774571418762207,2.845690965652466
N,6.320815086364746,6.669895648956299,4.554040908813477,4.541799068450928,4.718358039855957,4.865936279296875,4.663268089294434,5.587331771850586,6.334441661834717,5.576175212860107,3.916069030761719,4.524474620819092,4.646602630615234,4.404818534851074,4.781174182891846,4.916775226593018,5.094117164611816,5.351039886474609,3.520239353179932,5.293929100036621,3.9821484088897705,4.063422679901123,4.158361911773682,4.254112720489502,4.253020763397217,4.322269439697266,4.429752349853516,4.530928134918213,4.652524948120117,4.66245698928833,4.794662952423096,4.376959800720215,4.768596649169922,4.825809955596924,4.983850479125977,4.96005392074585,3.670007944107056,4.482759475708008,4.061840534210205,3.793793916702272,3.984072208404541,4.016110420227051,4.01401424407959,4.152957439422607,4.260962963104248,4.208988189697266,4.3579277992248535,4.261080265045166,4.70801305770874,4.593446254730225,4.494063377380371,4.544142723083496,4.761943340301514,4.502012252807617,2.656942129135132,4.688048362731934,3.611054420471192,3.8469221591949454,3.7303271293640137,3.648167610168457,3.557512283325196,3.4709362983703613,3.389162540435791,3.5424046516418457,3.272934913635254,3.250771999359131,3.2291574478149414,3.2132248878479004,3.2068986892700195,3.207019090652466,3.339709043502808,3.3646817207336426,3.420870065689087,3.333059072494507,3.383208990097046,3.4085910320281982,3.5030651092529297,3.689218044281006,3.7090635299682617,3.4141199588775635,4.134856700897217,4.099329471588135,4.074896812438965,4.278326034545898,4.225851058959961,3.862285852432251,2.6064579486846924,3.8708338737487793,3.36147689819336,3.482495784759521,4.572157859802246,3.772362470626831,3.685652256011963,3.387494802474976,3.298539638519287,3.34584903717041,3.4102439880371094,3.340392827987671,3.302238702774048,3.2683136463165283
O,7.431859493255615,7.588821887969971,5.186680316925049,5.5423994064331055,5.209509372711182,5.400505065917969,5.857418537139893,6.034373760223389,7.1772942543029785,6.352890968322754,4.549964904785156,5.228333950042725,5.15883207321167,4.900885105133057,5.241812229156494,5.383923053741455,5.60226583480835,5.84049129486084,4.24022388458252,5.916017055511475,4.437522411346436,4.542346477508545,4.65908670425415,4.816343784332275,4.776650428771973,4.844402313232422,4.958638668060303,5.060615539550781,5.2399582862854,5.184258937835693,5.299621105194092,4.926874160766602,5.280511856079102,5.315277099609375,5.469424724578857,5.4537739753723145,4.281418323516846,5.026397228240967,4.4717864990234375,4.256722450256348,4.498746871948242,4.55536699295044,4.543986797332764,4.732375621795654,4.8441996574401855,4.854281902313232,4.935226917266846,4.779067993164063,5.187901020050049,5.11289644241333,5.040979385375977,5.067018985748291,5.246780872344971,5.002554893493652,3.183899641036988,5.305973529815674,4.0089874267578125,4.157552719116211,4.243812084197998,4.169834613800049,4.090925216674805,4.017650604248047,3.946948528289795,3.9019954204559326,3.860802412033081,3.84838342666626,3.8356080055236816,3.826219081878662,3.830108880996704,3.8328604698181152,3.782797336578369,3.817786455154419,3.951013565063477,3.9128737449646,3.97990655899048,4.013747692108154,4.128906726837158,4.32643985748291,4.356991767883301,4.0285820960998535,4.643610954284668,4.603532314300537,4.652787208557129,4.78363847732544,4.769500255584717,4.351313591003418,3.111321210861206,4.555671215057373,3.846872568130493,3.974595069885254,4.855975151062012,4.075428485870361,4.013087749481201,3.943542242050171,3.8765478134155273,3.7442221641540527,3.952327728271485,3.887880802154541,3.857610702514648,3.8230578899383545
F,8.74311637878418,8.730694770812988,6.386189937591553,6.997091293334961,6.223410129547119,6.421165466308594,6.933833599090576,7.4506402015686035,7.755780696868896,7.410283088684082,5.7837114334106445,6.494386196136475,6.250051975250244,5.95563554763794,6.249745845794678,6.279741764068604,6.4411396980285645,6.566809177398682,5.196786403656006,6.69312047958374,5.362903118133545,5.504983901977539,5.651138782501221,5.89282751083374,5.818670272827148,5.900564670562744,6.010223865509033,6.108251571655273,6.360484600067139,6.22760820388794,6.116780757904053,6.025176048278809,6.282674312591553,6.224189281463623,6.276978492736816,6.190916538238525,5.141765117645264,5.867146968841553,5.202627182006836,5.251071453094482,5.580496311187744,5.656798839569092,5.617061138153076,5.86496114730835,5.981540203094482,6.0959343910217285,6.102127552032471,5.871011257171631,6.027178287506104,5.9355573654174805,6.117903232574463,6.095644474029541,6.185049533843994,5.906107902526856,4.103703498840332,6.141384124755859,4.812634468078613,4.794897079467773,5.100948810577393,5.033451557159424,4.9590983390808105,4.894118785858154,4.833126544952393,4.52411699295044,4.767564296722412,4.763014316558838,4.754131317138672,4.751688957214356,4.7625908851623535,4.769754409790039,4.476744174957275,4.527158260345459,4.9042253494262695,4.921389579772949,5.016608715057373,5.080816745758057,5.210717678070068,5.479734897613525,5.552261829376221,5.249361515045166,5.514947414398193,5.3705830574035645,5.684226512908936,5.7178215980529785,5.699530124664307,5.434998035430908,4.041263103485107,5.446584224700928,4.695212364196777,4.838536262512207,5.417365074157715,4.680454730987549,4.613407135009766,4.813744068145752,4.746189117431641,4.369918346405029,4.81404972076416,4.752530574798584,4.7180376052856445,4.687424182891846
Ne,7.065657615661621,7.4594645500183105,5.154839992523193,5.257011890411377,5.374351501464844,5.485865592956543,5.811639308929443,6.276562213897705,7.0268402099609375,5.931480407714844,4.652331829071045,5.122586250305176,5.288092136383057,5.1231842041015625,5.401028156280518,5.560932159423828,5.736843109130859,5.9986653327941895,4.216976165771484,5.691786289215088,4.7187910079956055,4.803916931152344,4.900310039520264,5.005164623260498,5.002984523773193,5.065063953399658,5.160356044769287,5.252774715423584,5.387056827545166,5.374546527862549,5.462378978729248,5.146311283111572,5.509645462036133,5.561856746673584,5.7228288650512695,5.687694072723389,4.338098049163818,4.9574151039123535,4.6812920570373535,4.550565719604492,4.742629528045654,4.778528213500977,4.778820991516113,4.920372486114502,5.020849704742432,4.954479217529297,5.116852283477783,5.014201641082764,5.381660461425781,5.226322650909424,5.257201671600342,5.293135166168213,5.479773044586182,5.251107215881348,3.460520029067993,5.231552600860596,4.176767349243164,4.4621901512146,4.399489402770996,4.322502136230469,4.230483055114746,4.141182899475098,4.041721343994141,4.198240756988525,3.879441261291504,3.837973117828369,3.790693521499634,3.7511887550354,3.745103359222412,3.73047137260437,3.9105746746063232,3.955708980560303,4.234716415405273,4.162969589233398,4.208517551422119,4.231316566467285,4.319437503814697,4.506277561187744,4.520091533660889,4.215922832489014,4.8371262550354,4.730292797088623,4.843101978302002,5.034020900726318,4.955013751983643,4.584373474121094,3.4099838733673096,4.513832092285156,3.9125161170959473,4.018690586090088,5.162307262420654,4.392598628997803,4.3335041999816895,4.00470781326294,3.9019742012023926,3.933486700057984,3.9680140018463135,3.892290592193604,3.843527793884277,3.792534589767456
Na,3.436034917831421,4.811674118041992,2.3318123817443848,3.1253671646118164,2.510014057159424,3.025942802429199,3.738045454025269,4.105349063873291,4.524536609649658,4.00332498550415,1.4425222873687744,2.512559413909912,2.506299018859864,2.1056156158447266,2.8017737865448,2.978125095367432,3.2364959716796875,3.2642202377319336,1.6652066707611084,2.1964356899261475,1.921011209487915,1.9675451517105105,2.055436134338379,2.076085567474365,2.137686252593994,2.205000400543213,2.334172248840332,2.441676139831543,2.42584490776062,2.517817497253418,3.034324884414673,2.2346444129943848,2.7648963928222656,2.8042361736297607,2.990283489227295,2.882666110992432,2.158607482910156,1.889472723007202,2.060790538787842,1.8273917436599727,1.8884122371673584,1.898674249649048,1.9127674102783203,1.9819676876068115,2.072096586227417,1.9172117710113523,2.1616299152374268,2.0995678901672363,2.868982553482056,2.468968391418457,2.368083000183105,2.4156172275543213,2.668294668197632,2.3272180557250977,1.8843719959259035,2.048806667327881,1.849960803985596,2.455026865005493,1.975744247436524,1.9120142459869385,1.8433548212051392,1.791168212890625,1.7360275983810425,2.173114776611328,1.6498827934265137,1.6194511651992798,1.587734937667847,1.5637433528900146,1.5424375534057615,1.5230919122695925,1.8738784790039065,1.880569338798523,1.784351468086243,1.678039312362671,1.6977016925811768,1.7113335132598877,1.76244854927063,1.843976974487305,1.8621199131011963,1.7389179468154907,2.4335224628448486,2.417100191116333,2.199207067489624,2.3828887939453125,2.3606302738189697,2.1257338523864746,1.853055477142334,1.9229109287261963,1.68711519241333,1.7018816471099854,2.9419190883636475,2.442612648010254,2.354663133621216,1.7272480726242063,1.667631983757019,2.1183295249938965,1.765318751335144,1.724189281463623,1.6950660943984983,1.6687405109405518
Mg,3.358439445495605,4.367762565612793,3.3087687492370605,2.7861242294311523,3.819885730743408,3.811304807662964,3.759850025177002,4.0840020179748535,4.501380920410156,4.081483840942383,2.53883695602417,2.70442008972168,3.6819801330566406,3.2661657333374023,3.8277158737182617,3.9899070262908936,4.102550506591797,4.371830463409424,2.118360042572021,3.643654823303223,2.800378561019897,2.908254384994507,3.0529332160949707,3.084012269973755,3.163865327835083,3.2308225631713867,3.3910934925079346,3.51170015335083,3.5173797607421875,3.544973373413086,3.8810315132141113,3.163841485977173,3.811126232147217,3.8570127487182617,4.005303382873535,3.863236427307129,2.371143341064453,3.03302001953125,3.2080230712890625,2.624932289123535,2.757777690887451,2.7880747318267822,2.8194286823272705,2.902570962905884,3.0128188133239746,2.8597092628479004,3.091203212738037,3.069445371627808,3.731988668441773,3.553622007369995,3.321502685546875,3.3836112022399902,3.6962811946868896,3.328223705291748,1.9386252164840696,2.888808488845825,2.813483715057373,3.280401945114136,2.885206699371338,2.8086068630218506,2.711913585662842,2.6133458614349365,2.51872992515564,2.9186830520629883,2.3709120750427246,2.3160722255706787,2.2610740661621094,2.2073075771331787,2.160619020462036,2.123105525970459,2.4227442741394043,2.4282054901123047,2.318516969680786,2.0990889072418213,2.1309335231781006,2.157501697540283,2.2546088695526123,2.43361496925354,2.4689059257507324,2.272237062454224,3.0327401161193848,3.000009775161743,2.9170408248901367,3.169914722442627,3.1160004138946533,2.8053367137908936,1.9261976480484009,2.350280523300171,2.495235681533813,2.616118907928467,3.709216594696045,3.2923147678375244,3.173794984817505,2.520855188369751,2.414308547973633,2.8507614135742188,2.578103542327881,2.4959871768951416,2.444466114044189,2.398213624954224
