,H,He,Li,Be,B,C,N,O,F,Ne,Na,Mg,Al,Si,P,S,Cl,Ar,K,Ca,Sc,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,Ge,As,Se,Br,Kr,Rb,Sr,Y,Zr,Nb,Mo,Tc,Ru,Rh,Pd,Ag,Cd,In,Sn,Sb,Te,I,Xe,Cs,Ba,La,Ce,Pr,Nd,Pm,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,W,Re,Os,Ir,Pt,Au,Hg,Tl,Pb,Bi,Po,At,Rn,Fr,Ra,Ac,Th,Pa,U,Np,Pu,Am,Cm,Bk,Cf,Es,Fm
H,4.3710103034973145,5.80232572555542,2.783234119415283,3.4792168140411377,2.9067625999450684,3.508967399597168,4.050796031951904,4.520727634429932,5.195764541625977,4.650463581085205,2.211042881011963,2.9872283935546875,2.9019179344177246,2.4579849243164062,3.178157091140747,3.386627197265625,3.746492385864258,3.8515312671661377,2.64841628074646,3.2089991569519043,2.547297954559326,2.51392126083374,2.516367197036743,2.5426371097564697,2.525712013244629,2.55862045288086,2.700678825378418,2.8374040126800537,2.9194564819335938,2.910908460617065,3.1219677925109863,2.5281200408935547,3.0875673294067383,3.1102356910705566,3.308091163635254,3.1802327632904053,4.853007793426514,2.833312749862671,2.778825521469116,2.495797634124756,2.478090524673462,2.442793846130371,2.4216971397399902,2.4133331775665283,2.459818124771118,2.216362714767456,2.556107997894287,2.592567682266236,2.9391658306121826,2.7179484367370605,2.6490211486816406,2.7098968029022217,2.9540727138519287,2.8126320838928223,5.729207992553711,3.415532350540161,2.676507472991944,3.419902801513672,2.705867052078247,2.6010420322418213,2.469738483428955,2.3477370738983154,2.225292682647705,2.838079929351806,2.0229179859161377,1.960397481918335,1.9103953838348389,1.873263359069824,1.8449668884277344,1.8189891576766968,2.1103529930114746,2.131723642349243,2.249021053314209,1.9934606552124023,2.00587797164917,2.0023839473724365,2.030470848083496,2.1341216564178467,2.141574144363404,1.9999536275863647,2.492839336395264,2.400907278060913,2.429338932037353,2.6031570434570312,2.595115423202514,2.4527523517608643,5.670079708099365,3.596825122833252,2.435832500457764,2.412834644317627,3.5944719314575195,3.430189609527588,3.305633544921875,2.315613508224488,2.20083236694336,2.9327287673950195,2.2558910846710205,2.17476773262024,2.1132192611694336,2.0541045665740967
He,5.80232572555542,6.635865688323975,3.602565050125122,4.330875873565674,3.825986385345459,4.33383321762085,4.9929704666137695,5.556818008422852,6.2245774269104,5.596596717834473,3.3920884132385254,3.8438119888305664,3.6981961727142334,3.6562557220458975,4.001640319824219,4.239036083221436,4.619203090667725,4.808311462402344,5.174534797668457,4.540494441986084,3.675928115844727,3.6431288719177246,3.620864152908325,3.673150062561035,3.59491229057312,3.6017067432403564,3.614212274551392,3.662339925765991,3.794669151306152,3.8663315773010254,3.7999348640441895,3.680240392684937,3.787691831588745,3.842026948928833,4.038257122039795,4.127953052520752,7.703609943389893,4.588476181030273,4.077767372131348,3.702216625213623,3.715878963470459,3.698953866958618,3.665931701660156,3.66106390953064,3.654187202453613,3.385098695755005,3.7574305534362793,3.859102725982666,3.671953678131104,3.833991050720215,3.6900229454040527,3.7353365421295166,3.806846618652344,4.001631259918213,7.555410385131836,6.01810884475708,3.892679452896118,4.4507975578308105,3.873216152191162,3.757920503616333,3.618954658508301,3.469378709793091,3.335533142089844,3.887973070144653,3.1022753715515137,3.0040950775146484,2.924966096878052,2.8397750854492188,2.7453267574310303,2.678019523620605,3.001678228378296,3.003687858581543,3.309898853302002,2.93157696723938,2.9038875102996826,2.902805805206299,2.879729986190796,3.060364961624145,3.083449125289917,2.991939306259156,3.0485212802886963,3.0281004905700684,3.313967227935791,3.261547327041626,3.344252586364746,3.510426521301269,7.347496032714844,6.369047164916992,3.6669318675994873,3.6858973503112793,4.436426639556885,4.418373107910156,4.260767459869385,3.486125946044922,3.366018056869507,3.893232107162476,3.514166116714477,3.4194207191467285,3.339061737060547,3.26102614402771
Li,2.783233642578125,3.602565288543701,1.4409878253936768,1.6041581630706787,1.8840219974517824,1.9171347618103027,2.064990520477295,2.4139673709869385,2.8792150020599365,2.764707088470459,1.537087082862854,1.5747652053833008,1.6963725090026855,1.7555598020553589,1.8691511154174805,2.0235464572906494,2.185365676879883,2.4235689640045166,3.984187602996826,3.189384937286377,2.082789182662964,2.0932955741882324,2.1392312049865723,2.1563878059387207,2.1527788639068604,2.172450304031372,2.204559326171875,2.2314133644104004,2.2153115272521973,2.237346172332764,1.9785009622573853,2.191209316253662,2.27476167678833,2.372943162918091,2.4214892387390137,2.520252227783203,5.363961219787598,3.61494779586792,2.4753191471099854,2.05887508392334,2.073694229125977,2.08423376083374,2.0599656105041504,2.0555100440979004,2.094500541687012,1.6046773195266724,2.1239829063415527,2.1303141117095947,1.9827039241790767,2.125452995300293,2.254567623138428,2.2910542488098145,2.38861083984375,2.370364189147949,3.86940598487854,4.814074516296387,2.483649015426636,3.22353744506836,2.586456060409546,2.425968170166016,2.240288257598877,2.016420364379883,1.8209739923477173,2.352240085601806,1.573984146118164,1.481666922569275,1.4180219173431396,1.36732280254364,1.2971765995025637,1.245006799697876,1.6003174781799316,1.6142807006835938,2.0080795288085938,1.6627779006958008,1.6287684440612793,1.606605052947998,1.6191483736038208,1.6913225650787354,1.694939136505127,1.5468244552612305,1.873151183128357,1.8588151931762693,2.133095026016236,2.185566663742065,2.241761922836304,2.157872676849365,3.657886505126953,4.80554723739624,2.3630738258361816,2.365414619445801,3.065956115722656,3.135823965072632,2.919573783874512,2.155813694000244,2.0171589851379395,2.5705275535583496,2.175048828125,2.09956169128418,2.033039331436157,1.9826605319976809
Be,3.479217767715454,4.33087682723999,1.6041581630706787,2.01658582687378,1.8751381635665887,2.042155742645264,2.5374510288238525,3.008666038513184,3.744453430175781,3.2799112796783447,1.6961098909378052,1.6809322834014893,1.664889931678772,1.9305565357208248,1.8774603605270384,2.0572726726531982,2.2392470836639404,2.5144357681274414,3.3137762546539307,2.5859615802764893,2.2915310859680176,2.2626514434814453,2.252660751342773,2.223299980163574,2.2487552165985107,2.257411479949951,2.2001757621765137,2.139534711837769,2.090390920639038,2.254492282867432,1.8221818208694456,2.320310592651367,2.0088441371917725,2.1195268630981445,2.166980504989624,2.474769353866577,5.583353519439697,2.735673427581787,2.304929733276367,2.34472918510437,2.3334572315216064,2.34009861946106,2.3444652557373047,2.291991233825684,2.257925033569336,1.736689805984497,2.2689874172210693,2.3466506004333496,1.811845779418945,2.153651714324951,2.303351402282715,2.36242938041687,2.294917106628418,2.5635273456573486,4.784634113311768,4.055572509765625,2.126556873321533,3.116819143295288,2.3796701431274414,2.2435314655303955,2.0747995376586914,1.9254252910614007,1.8011715412139893,2.565226554870605,1.6321914196014404,1.5959426164627075,1.568528413772583,1.5350303649902344,1.50357985496521,1.4673678874969482,1.8674530982971191,1.907304763793945,2.233055591583252,1.879647254943848,1.8400229215621948,1.8221056461334229,1.7842495441436768,1.80141282081604,1.7985731363296509,1.8048427104949951,1.8285897970199585,1.9096471071243288,2.160027503967285,2.0666658878326416,2.2260162830352783,2.4452009201049805,4.546770095825195,4.422991752624512,1.9142305850982664,1.9259090423583984,3.1146914958953857,3.088374614715576,2.971087455749512,1.938398003578186,1.7760707139968872,2.5060386657714844,1.8911068439483645,1.794838786125183,1.7324649095535278,1.6782126426696775
B,2.9067630767822266,3.825985908508301,1.884022235870361,1.8751384019851685,2.0706419944763184,2.211231231689453,2.336698532104492,2.69344162940979,3.1923751831054688,3.04541540145874,2.163380622863769,1.9398376941680908,2.012324571609497,2.108107805252075,2.1496684551239014,2.241511344909668,2.3891711235046387,2.6754093170166016,4.607131481170654,4.061779022216797,2.352101802825928,2.3013782501220703,2.3010990619659424,2.3509397506713867,2.295459508895874,2.300124168395996,2.322113037109375,2.3625683784484863,2.464381217956543,2.4227068424224854,2.088070869445801,2.3667914867401123,2.440187454223633,2.513055324554444,2.578886747360229,2.632009744644165,5.694051265716553,4.467658519744873,3.142125129699707,2.417667865753174,2.3829660415649414,2.364915370941162,2.2987351417541504,2.307158231735229,2.312237501144409,1.8768243789672847,2.341864824295044,2.42120099067688,2.1054792404174805,2.5674753189086914,2.403927087783813,2.4174203872680664,2.5194575786590576,2.61803936958313,4.2555832862854,5.5326995849609375,3.27384090423584,3.83799409866333,3.3636474609375,3.1790013313293457,2.9669885635375977,2.703965663909912,2.485740423202514,2.8737502098083496,2.1483700275421143,1.9983775615692136,1.9117331504821773,1.840703129768372,1.7284115552902222,1.6691534519195557,1.836112380027771,1.829281091690064,2.2350330352783203,1.8469420671463013,1.79764986038208,1.7679197788238523,1.7602239847183228,1.882256269454956,1.8749029636383057,1.771531581878662,2.0254859924316406,1.925349235534668,2.31575345993042,2.3622188568115234,2.378945827484131,2.2944254875183105,4.074026584625244,5.336665153503418,3.1048269271850586,3.1042399406433105,3.333077907562256,3.738590002059937,3.4932425022125244,2.8980631828308105,2.754141569137573,3.250920295715332,2.9857139587402344,2.9035611152648926,2.819235324859619,2.742918968200684
C,3.508967399597168,4.33383321762085,1.9171350002288816,2.0421559810638428,2.211230516433716,2.226379632949829,2.5428991317749023,3.022178649902344,3.6822259426116943,3.2778563499450684,2.030657768249512,1.910819411277771,2.007882595062256,2.1825804710388184,2.119825601577759,2.2824819087982178,2.505858421325684,2.8044586181640625,4.5798869132995605,3.593327522277832,2.5001003742218018,2.4757564067840576,2.4780330657958984,2.5244288444519043,2.4650793075561523,2.462282419204712,2.447880268096924,2.449185609817505,2.5300562381744385,2.512166976928711,2.034160852432251,2.4773504734039307,2.3295323848724365,2.431169509887696,2.4149961471557617,2.679696083068848,6.308605670928955,3.853341579437256,2.7355244159698486,2.430603504180908,2.486566066741944,2.478045701980591,2.42993712425232,2.4672462940216064,2.4718880653381348,2.0788941383361816,2.471965312957764,2.465597629547119,2.077367067337036,2.4170079231262207,2.519165515899658,2.5547032356262207,2.5605170726776123,2.642065048217773,5.0574822425842285,5.37526273727417,2.6210501194000244,3.4686336517333984,2.8556032180786133,2.7040460109710693,2.524193525314331,2.333263874053955,2.1704909801483154,2.6301827430725098,1.913527250289917,1.812130331993103,1.7479556798934937,1.6994407176971436,1.6350324153900146,1.5992295742034912,1.8802729845047,1.8931071758270264,2.327763795852661,2.0271291732788086,2.01663875579834,2.0035314559936523,2.0082273483276367,2.1134257316589355,2.113231897354126,1.972229480743408,2.07027006149292,2.0634100437164307,2.4357972145080566,2.428126335144043,2.504150867462158,2.4751081466674805,4.817859172821045,5.5826263427734375,2.485109567642212,2.5274481773376465,3.3545076847076416,3.359001636505127,3.159488677978516,2.411152601242065,2.258288860321045,2.719318389892578,2.364931583404541,2.267821788787842,2.1989450454711914,2.14962124824524
N,4.050796985626221,4.992969989776611,2.064990520477295,2.537451267242432,2.3366990089416504,2.5428991317749023,3.178745746612549,3.709988832473755,4.446444988250732,3.823111772537232,2.195974111557007,2.1266489028930664,2.168174266815185,2.285409688949585,2.3922319412231445,2.5972208976745605,2.8541338443756104,3.1400668621063232,4.47361421585083,3.5435423851013184,2.5726351737976074,2.5241990089416504,2.501424551010132,2.545649528503418,2.468303918838501,2.4511966705322266,2.3913636207580566,2.369401216506958,2.423013687133789,2.489673614501953,2.2489702701568604,2.5120174884796143,2.298846244812012,2.401120185852051,2.5007359981536865,2.7227673530578613,6.721353054046631,3.74626088142395,2.822996139526367,2.582725524902344,2.6037700176239014,2.5861270427703857,2.523504734039306,2.5453500747680664,2.5251598358154297,2.239227771759033,2.5548036098480225,2.5941436290740967,2.180304765701294,2.5152268409729004,2.502472400665283,2.521278619766236,2.481310606002808,2.7266077995300293,5.884404182434082,5.282402038574219,2.651949405670166,3.5212433338165283,2.919682741165161,2.768810272216797,2.5937111377716064,2.428189754486084,2.273900985717773,2.8142518997192383,2.039491653442383,1.95938777923584,1.910626769065857,1.879038453102112,1.837903618812561,1.805206060409546,2.0493175983428955,2.0614562034606934,2.4755406379699707,2.153951644897461,2.1106858253479004,2.08653211593628,2.068138599395752,2.16139554977417,2.1685683727264404,2.105684757232666,2.081660509109497,2.085501194000244,2.463107109069824,2.368536233901977,2.4691145420074463,2.6056385040283203,5.626399040222168,5.620102405548096,2.482617378234864,2.5435352325439453,3.401994705200196,3.419519662857056,3.2495052814483643,2.453764200210572,2.324112892150879,2.7927355766296387,2.4431443214416504,2.3392934799194336,2.2557711601257324,2.190319061279297
O,4.52072811126709,5.55681848526001,2.41396713256836,3.0086662769317627,2.6934409141540527,3.022178173065185,3.70998787879944,4.355551242828369,5.055695533752441,4.351590633392334,2.5185067653656006,2.4938864707946777,2.526935577392578,2.6018457412719727,2.7811877727508545,3.017443895339966,3.3679544925689697,3.6544594764709473,4.935821533203125,4.029709339141846,2.719740152359009,2.666470527648926,2.646782636642456,2.674777030944824,2.603813648223877,2.594797134399414,2.568150997161865,2.584635257720948,2.651646375656128,2.7245750427246094,2.62587308883667,2.654876232147217,2.5910089015960693,2.67042088508606,2.848621129989624,3.037161350250244,7.280986785888672,4.213631629943848,3.235612869262696,2.710512399673462,2.730702638626098,2.7167835235595703,2.691507339477539,2.6890225410461426,2.6644749641418457,2.470499515533448,2.7430613040924072,2.822288751602173,2.512824058532715,2.891909122467041,2.6394968032836914,2.683525562286377,2.7150678634643555,2.936443567276001,6.544510364532471,5.787304401397705,3.040386915206909,3.786013603210449,3.2387969493865967,3.086631774902344,2.916301012039185,2.736945152282715,2.591870307922364,3.0571630001068115,2.365813970565796,2.2907423973083496,2.2317020893096924,2.1751413345336914,2.1202056407928467,2.081634759902954,2.233778238296509,2.2282869815826416,2.56656551361084,2.2387466430664062,2.201683759689331,2.186757326126098,2.166250705718994,2.292802572250366,2.320035457611084,2.272866487503052,2.247787952423096,2.230700969696045,2.560155868530273,2.496999263763428,2.577095031738281,2.7219438552856445,6.273006916046143,6.075281143188477,2.866162300109864,2.941788673400879,3.631683349609375,3.6535604000091553,3.483983993530273,2.770664691925049,2.65785551071167,3.0407745838165283,2.7923619747161865,2.698740005493164,2.630005359649658,2.5664756298065186
F,5.195764064788818,6.224576473236084,2.8792150020599365,3.744454145431519,3.192375659942627,3.682226657867432,4.446444511413574,5.0556960105896,5.824400424957275,5.037254810333252,2.9598186016082764,3.07940411567688,3.003271102905273,3.052523136138916,3.362330675125122,3.6395249366760254,4.04086446762085,4.288818359375,5.392580509185791,4.545315265655518,3.0047292709350586,2.940700054168701,2.917360782623291,2.9274184703826904,2.8991377353668213,2.906381607055664,2.919147253036499,2.9583945274353027,3.022714614868164,3.1477155685424805,3.2392656803131104,2.9556868076324463,3.06885027885437,3.1484978199005127,3.382819414138794,3.477043867111206,7.790309906005859,4.684398174285889,3.6858060359954834,3.000509738922119,3.0070276260375977,2.981807947158813,2.948465347290039,2.9484176635742188,2.9614078998565674,2.815109968185425,3.0685906410217285,3.1981239318847656,3.049726247787476,3.4149441719055176,2.9591610431671143,3.0315475463867188,3.108518123626709,3.2832581996917725,7.276155948638916,6.263734340667725,3.498556137084961,4.064897060394287,3.610199689865112,3.4564218521118164,3.2896475791931152,3.129082202911377,2.999326229095459,3.355020523071289,2.779180765151977,2.7065258026123047,2.6541402339935303,2.603077888488769,2.537960290908813,2.501306533813477,2.5373406410217285,2.5261197090148926,2.685379266738892,2.350285053253174,2.3304476737976074,2.3318958282470703,2.316270351409912,2.466123342514038,2.498248338699341,2.4655706882476807,2.508964776992798,2.5027146339416504,2.717114448547364,2.691546440124512,2.754426956176758,2.8807027339935303,7.009276390075684,6.528322696685791,3.342841625213623,3.4353177547454834,3.9233343601226807,3.914032936096192,3.7431564331054688,3.166461229324341,3.052623748779297,3.3466227054595947,3.236602783203125,3.1597156524658203,3.098071575164795,3.0387115478515625
Ne,4.650464057922363,5.596596717834473,2.7647078037261963,3.279911994934082,3.045414686203003,3.2778573036193848,3.8231122493743896,4.351590633392334,5.037255764007568,4.522759914398193,2.849595785140991,2.8708596229553223,2.874106407165528,2.9746744632720947,3.0393128395080566,3.2273318767547607,3.497497320175171,3.757623672485352,4.991955757141113,4.006862640380859,3.233304262161255,3.1888298988342285,3.164721965789795,3.188352584838867,3.131603717803955,3.111227512359619,3.0654373168945312,3.0318708419799805,3.097163200378418,3.168343544006348,2.9119985103607178,3.156359434127808,3.011914253234864,3.0987701416015625,3.209901094436645,3.449979305267334,7.279312610626221,4.2317891120910645,3.479185104370117,3.248028039932251,3.247699737548828,3.2272696495056152,3.1631011962890625,3.1610143184661865,3.1363024711608887,2.8225276470184326,3.1788675785064697,3.2478725910186768,2.8358500003814697,3.0984978675842285,3.156111478805542,3.185336112976074,3.160395383834839,3.419046401977539,6.466046333312988,5.731359004974365,3.3441290855407715,4.154269695281982,3.531754970550537,3.3665356636047363,3.1740939617156982,2.989343881607056,2.8336668014526367,3.3677611351013184,2.592135190963745,2.496784210205078,2.420182466506958,2.353550672531128,2.2966885566711426,2.261190414428711,2.539263963699341,2.558004379272461,2.999364852905273,2.7096688747406006,2.682483673095703,2.669670581817627,2.64216947555542,2.7637338638305664,2.7763512134552,2.666399478912353,2.6145174503326416,2.61210036277771,3.023587942123413,2.9410524368286133,3.0322344303131104,3.190726518630981,6.192312240600586,6.112486839294434,3.2023279666900635,3.1990349292755127,3.9715096950531006,4.015885353088379,3.829519033432007,3.0323591232299805,2.891087532043457,3.3596866130828857,2.976912021636963,2.879236459732056,2.804821491241455,2.737945079803467
